dataset,repeat,n_vectors,lavd_cli_bits,code_name,code_bits_per_dimension,record_mode,materialization_fraction,build_s,stage_sum_s,closure_relative,build_peak_rss_gib,process_peak_rss_gib,region_gb,authoritative_index_gb,storage_amplification,raw_json,raw_err
SIFT1M,0,1000000,8,sq8,8,fixed,1.0,20.634445487,20.631609543000003,0.00013743737391854063,4.827411651611328,4.827411651611328,4.616016384,0.79679978,5.79319485253874,results/vldb_final_evidence/build_cost/raw/SIFT1M_r0.json,results/vldb_final_evidence/build_cost/raw/SIFT1M_r0.err
SIFT1M,1,1000000,8,sq8,8,fixed,1.0,20.662485691999997,20.659643520000003,0.00013755227915765013,4.827323913574219,4.827323913574219,4.616016384,0.79679978,5.79319485253874,results/vldb_final_evidence/build_cost/raw/SIFT1M_r1.json,results/vldb_final_evidence/build_cost/raw/SIFT1M_r1.err
SIFT1M,2,1000000,8,sq8,8,fixed,1.0,20.597432102,20.594594688,0.00013775571566138555,4.827125549316406,4.827125549316406,4.616016384,0.79679978,5.79319485253874,results/vldb_final_evidence/build_cost/raw/SIFT1M_r2.json,results/vldb_final_evidence/build_cost/raw/SIFT1M_r2.err
SIFT1M,3,1000000,8,sq8,8,fixed,1.0,20.678345528,20.675500706999998,0.00013757488461300325,4.8273773193359375,4.8273773193359375,4.616016384,0.79679978,5.79319485253874,results/vldb_final_evidence/build_cost/raw/SIFT1M_r3.json,results/vldb_final_evidence/build_cost/raw/SIFT1M_r3.err
SIFT1M,4,1000000,8,sq8,8,fixed,1.0,20.547337802,20.544492333,0.0001384835849500123,4.827415466308594,4.827415466308594,4.616016384,0.79679978,5.79319485253874,results/vldb_final_evidence/build_cost/raw/SIFT1M_r4.json,results/vldb_final_evidence/build_cost/raw/SIFT1M_r4.err
DEEP1M,0,1000000,8,sq8,8,fixed,1.0,18.531029096999998,18.528192969,0.00015304751749907673,4.706989288330078,4.706989288330078,3.592016384,0.66879978,5.370839661460415,results/vldb_final_evidence/build_cost/raw/DEEP1M_r0.json,results/vldb_final_evidence/build_cost/raw/DEEP1M_r0.err
DEEP1M,1,1000000,8,sq8,8,fixed,1.0,18.453822467,18.45099104,0.00015343308981435362,4.707126617431641,4.707126617431641,3.592016384,0.66879978,5.370839661460415,results/vldb_final_evidence/build_cost/raw/DEEP1M_r1.json,results/vldb_final_evidence/build_cost/raw/DEEP1M_r1.err
DEEP1M,2,1000000,8,sq8,8,fixed,1.0,18.446470098000002,18.443639221,0.0001534644289645018,4.706798553466797,4.706798553466797,3.592016384,0.66879978,5.370839661460415,results/vldb_final_evidence/build_cost/raw/DEEP1M_r2.json,results/vldb_final_evidence/build_cost/raw/DEEP1M_r2.err
DEEP1M,3,1000000,8,sq8,8,fixed,1.0,18.501377252999998,18.498543247,0.00015317810999923166,4.706855773925781,4.706855773925781,3.592016384,0.66879978,5.370839661460415,results/vldb_final_evidence/build_cost/raw/DEEP1M_r3.json,results/vldb_final_evidence/build_cost/raw/DEEP1M_r3.err
DEEP1M,4,1000000,8,sq8,8,fixed,1.0,18.515729853,18.512886176,0.0001535816855493821,4.706878662109375,4.706878662109375,3.592016384,0.66879978,5.370839661460415,results/vldb_final_evidence/build_cost/raw/DEEP1M_r4.json,results/vldb_final_evidence/build_cost/raw/DEEP1M_r4.err
GIST1M,0,1000000,8,RaBitQ-2,2,fixed,1.0,25.470119868999998,25.467277070999998,0.00011161305932688205,8.506431579589844,8.506431579589844,8.456016384,4.12479978,2.0500428711717977,results/vldb_final_evidence/build_cost/raw/GIST1M_r0.json,results/vldb_final_evidence/build_cost/raw/GIST1M_r0.err
GIST1M,1,1000000,8,RaBitQ-2,2,fixed,1.0,25.441446657,25.438612311999997,0.00011140659720397992,8.506271362304688,8.506271362304688,8.456016384,4.12479978,2.0500428711717977,results/vldb_final_evidence/build_cost/raw/GIST1M_r1.json,results/vldb_final_evidence/build_cost/raw/GIST1M_r1.err
GIST1M,2,1000000,8,RaBitQ-2,2,fixed,1.0,25.452073199999997,25.449237863,0.00011139905883960754,8.506305694580078,8.506305694580078,8.456016384,4.12479978,2.0500428711717977,results/vldb_final_evidence/build_cost/raw/GIST1M_r2.json,results/vldb_final_evidence/build_cost/raw/GIST1M_r2.err
GIST1M,3,1000000,8,RaBitQ-2,2,fixed,1.0,25.537385026,25.534536756,0.00011153334599837554,8.506538391113281,8.506538391113281,8.456016384,4.12479978,2.0500428711717977,results/vldb_final_evidence/build_cost/raw/GIST1M_r3.json,results/vldb_final_evidence/build_cost/raw/GIST1M_r3.err
GIST1M,4,1000000,8,RaBitQ-2,2,fixed,1.0,25.482214046,25.479367053,0.00011172471100273568,8.50625991821289,8.50625991821289,8.456016384,4.12479978,2.0500428711717977,results/vldb_final_evidence/build_cost/raw/GIST1M_r4.json,results/vldb_final_evidence/build_cost/raw/GIST1M_r4.err
