campaign_id,protocol_fingerprint,dataset,condition,cache_ratio_pct,run_kind,repeat,binary_sha256,threads,query_contexts,coroutines,ef,top_k,processed,recall,qps,posts_per_query,bytes_per_query,cache_hits,cache_misses,p50_us,p95_us,p99_us,source_json,source_json_sha256,source_manifest,source_manifest_sha256
vldb-cache-control-sift1-final-v2-20260714,311f13155e2ed0acb33282d43c9f7192c418a3d880fd27c44fb8d6f168a10dbc,SIFT1M,off,0,measure,0,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,1,1,8,100,10,10000,0.97661,701.0,1760.1488,898273.6636,0.0,0.0,11807.869,14219.936,15008.175000000001,raw/off/measure_r0/cn.json,14a1fffac984547959d6f41bdb38f82d9155bdd47b7cc3b771bfee8d80835174,raw/off/measure_r0/manifest.json,0d484e115910cf03a8c6de384f4ee33db8f890dd36454d24a862427e0fd9298d
vldb-cache-control-sift1-final-v2-20260714,311f13155e2ed0acb33282d43c9f7192c418a3d880fd27c44fb8d6f168a10dbc,SIFT1M,off,0,measure,1,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,1,1,8,100,10,10000,0.97661,697.0,1760.1488,898273.6636,0.0,0.0,11879.97,14320.966,15179.255000000001,raw/off/measure_r1/cn.json,c0752cc068ce5b87c756f02b6fc187f3331e8a50f917a4475adf9b44d51c52be,raw/off/measure_r1/manifest.json,481cfe36e0993994b2a610c81ba673c8dfa3fcfeac29e06d4d7175437d11a6ca
vldb-cache-control-sift1-final-v2-20260714,311f13155e2ed0acb33282d43c9f7192c418a3d880fd27c44fb8d6f168a10dbc,SIFT1M,off,0,measure,2,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,1,1,8,100,10,10000,0.97661,696.0,1760.1488,898273.6636,0.0,0.0,11894.859,14335.867,15148.473,raw/off/measure_r2/cn.json,4be65a6504841b6042dd4325ca8cb0075db140360a4e1dc7c42d565c883cefde,raw/off/measure_r2/manifest.json,495e2dd971b98ed0d4f4857eda0801ff1cffd60a7ecddbb5978fca8579a9413c
vldb-cache-control-sift1-final-v2-20260714,311f13155e2ed0acb33282d43c9f7192c418a3d880fd27c44fb8d6f168a10dbc,SIFT1M,off,0,measure,3,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,1,1,8,100,10,10000,0.97661,703.0,1760.1488,898273.6636,0.0,0.0,11771.998,14178.484,15058.198,raw/off/measure_r3/cn.json,9c0c92928f0176aae89d78da133d73babef1d190af059280d3a86650cd891fe9,raw/off/measure_r3/manifest.json,e181d22781e0cb3b7ba4ad70929aeb84c8d7fac98b52277197909344d4cf8350
vldb-cache-control-sift1-final-v2-20260714,311f13155e2ed0acb33282d43c9f7192c418a3d880fd27c44fb8d6f168a10dbc,SIFT1M,off,0,measure,4,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,1,1,8,100,10,10000,0.97661,710.0,1760.1488,898273.6636,0.0,0.0,11646.634,14022.188,14887.284,raw/off/measure_r4/cn.json,fcd0503ff152f12fe3b5a61c74e582426ef92d9ba33103f4970b0c4fa211a758,raw/off/measure_r4/manifest.json,8c57003884967a44e72881a70bb99c7e998b5a5557977db1f3d71eda6246dcd7
vldb-cache-control-sift1-final-v2-20260714,311f13155e2ed0acb33282d43c9f7192c418a3d880fd27c44fb8d6f168a10dbc,SIFT1M,c5,5,measure,0,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,1,1,8,100,10,10000,0.97661,645.0,1487.1523,754131.5116,2729965.0,13759776.0,12811.460000000001,15615.836000000001,16665.095,raw/c5/measure_r0/cn.json,36d16e83e5ef26cdd5dc8607a1dc3402275ee75bb212a8d4edd4e323e244e2a1,raw/c5/measure_r0/manifest.json,4f65e45df2781d51bebf3e62579a9736c3a9287d17b6fb6dd6a82e5d24f24a97
vldb-cache-control-sift1-final-v2-20260714,311f13155e2ed0acb33282d43c9f7192c418a3d880fd27c44fb8d6f168a10dbc,SIFT1M,c5,5,measure,1,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,1,1,8,100,10,10000,0.97661,642.0,1487.449,754288.1692,2726998.0,13762743.0,12863.568000000001,15684.829,16671.783,raw/c5/measure_r1/cn.json,e4724019bb414c009ed6f00db8eeb1b61a3a6fdd5830e13cb1ec67319abd75f3,raw/c5/measure_r1/manifest.json,3542f4ebb60c9f931c62c297dc85a9498c839376f621af5198baa5835717e3d1
vldb-cache-control-sift1-final-v2-20260714,311f13155e2ed0acb33282d43c9f7192c418a3d880fd27c44fb8d6f168a10dbc,SIFT1M,c5,5,measure,2,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,1,1,8,100,10,10000,0.97661,651.0,1487.3695,754246.1932,2727793.0,13761948.0,12682.288,15483.824,16517.501,raw/c5/measure_r2/cn.json,41f6fd75dc8790681f779cae9a4e7cd30b3177858c9a6ddd64d82d12f040f4e5,raw/c5/measure_r2/manifest.json,bdb8ac262038d82e81e7b2ad8bae866b26212750f09b7c57fa439af149d38c13
vldb-cache-control-sift1-final-v2-20260714,311f13155e2ed0acb33282d43c9f7192c418a3d880fd27c44fb8d6f168a10dbc,SIFT1M,c5,5,measure,3,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,1,1,8,100,10,10000,0.97661,650.0,1487.2426,754179.19,2729062.0,13760679.0,12713.933,15489.852,16611.559,raw/c5/measure_r3/cn.json,8e6a493f109674a400ac9fbb9cd61105b6af68edece6eef258d73fca7088c5da,raw/c5/measure_r3/manifest.json,b23da7c2d41f4f76521720e988c7b9533928ba59a8d1bb786396aceb99faad00
vldb-cache-control-sift1-final-v2-20260714,311f13155e2ed0acb33282d43c9f7192c418a3d880fd27c44fb8d6f168a10dbc,SIFT1M,c5,5,measure,4,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,1,1,8,100,10,10000,0.97661,646.0,1487.4835,754306.3852,2726653.0,13763088.0,12765.541000000001,15606.189,16722.191,raw/c5/measure_r4/cn.json,a94fddeb4e2c7b3d8d51a2bb625de14bd77adcca7830afb4ce9d044b7fc49c5b,raw/c5/measure_r4/manifest.json,3ce947641bb23921cbf7698e945c61a8200cc031d3da8a2a0c3dceda51be6f85
