campaign_id,protocol_fingerprint,dataset,degree,inline_codes,inline_code_fraction,run_kind,repeat,binary_sha256,threads,query_contexts,coroutines,ef,top_k,processed,recall,qps,posts_per_query,bytes_per_query,p50_us,p95_us,p99_us,source_json,source_json_sha256,source_manifest,source_manifest_sha256
vldb-colocation-deep1-final-v4-20260715,d99de8f75c7153f0182b21a9804e050a45c8c4e60c04ceac37e7071afa4c8bb5,DEEP1M,full,32,1.0,measure,0,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,2,200,10,10000,0.98907,10397.0,201.8453,761436.3176,1900.731,1990.219,2137.8160000000003,raw/full/measure_r0/cn.json,2c009674d36d159ebddcc03c1e2967e70118b6752195c55937a673298ea0ec30,raw/full/measure_r0/manifest.json,e6ac273008b81980b4d524949886296a7c68aa686b67433c9fced0c19ce8ac33
vldb-colocation-deep1-final-v4-20260715,d99de8f75c7153f0182b21a9804e050a45c8c4e60c04ceac37e7071afa4c8bb5,DEEP1M,full,32,1.0,measure,1,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,2,200,10,10000,0.98907,10395.0,201.8453,761436.3176,1902.9,1997.923,2072.9410000000003,raw/full/measure_r1/cn.json,ea80d5ccea46279ea0b03243146787589278f6c9efb7c5c18916edd39361b5e1,raw/full/measure_r1/manifest.json,c6ba7c3afc7f8b0f89d18f2b8c99c2f98b034d202909358d53a2ba7e96618bdf
vldb-colocation-deep1-final-v4-20260715,d99de8f75c7153f0182b21a9804e050a45c8c4e60c04ceac37e7071afa4c8bb5,DEEP1M,full,32,1.0,measure,2,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,2,200,10,10000,0.98907,10398.0,201.8453,761436.3176,1899.8600000000001,2006.527,2135.349,raw/full/measure_r2/cn.json,0f670c060f1ce5bc993506c86f0a8ede47eb2a3d20bb920990cb81a36d493ceb,raw/full/measure_r2/manifest.json,3b51b8569a0e4215177fd382c499b87a0dbb2f5d0d9f19e49af1db9471cc1364
vldb-colocation-deep1-final-v4-20260715,d99de8f75c7153f0182b21a9804e050a45c8c4e60c04ceac37e7071afa4c8bb5,DEEP1M,full,32,1.0,measure,3,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,2,200,10,10000,0.98907,10437.0,201.8453,761436.3176,1894.724,1991.221,2057.486,raw/full/measure_r3/cn.json,0f93adbf84760d957153618faa1133bee14822ccb05b11b408a1eb84f6b8c07a,raw/full/measure_r3/manifest.json,e14e1887bf1e3c0c727ecb24d4f31f883227a436bc2b09764ca67abf2291c6e7
vldb-colocation-deep1-final-v4-20260715,d99de8f75c7153f0182b21a9804e050a45c8c4e60c04ceac37e7071afa4c8bb5,DEEP1M,full,32,1.0,measure,4,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,2,200,10,10000,0.98907,10433.0,201.8453,761436.3176,1894.441,1980.111,2065.549,raw/full/measure_r4/cn.json,c4a7809727c03089d32c4c705ccf6c3b5441fdd395b0dfd691022d2b5ec411ef,raw/full/measure_r4/manifest.json,a419b7f8cda983bbf6b033898caa4de04cc453924332c74c901a97bf5387c25d
vldb-colocation-deep1-final-v4-20260715,d99de8f75c7153f0182b21a9804e050a45c8c4e60c04ceac37e7071afa4c8bb5,DEEP1M,24,24,0.75,measure,0,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,2,200,10,10000,0.98907,8264.0,270.9734,701357.4872,2398.943,2827.4410000000003,3014.899,raw/24/measure_r0/cn.json,9f1fb007cb6f49efdee846e01e374795aeb0ff9a8623ccb3c223a30d63e93fb4,raw/24/measure_r0/manifest.json,878f043defef95233d1489c61335cb097f3d412bd3434f80c4c92a5ead97e14c
vldb-colocation-deep1-final-v4-20260715,d99de8f75c7153f0182b21a9804e050a45c8c4e60c04ceac37e7071afa4c8bb5,DEEP1M,24,24,0.75,measure,1,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,2,200,10,10000,0.98907,8252.0,270.9734,701357.4872,2404.233,2834.579,3040.848,raw/24/measure_r1/cn.json,b669a6d538c1e28b837ebf0581c844de3f5fbebc2bb70c7508e3bf7b125378b3,raw/24/measure_r1/manifest.json,f38b7cddaad9cd57ad7cc8269f2d54d5c369afe5806ff4916d3455ea5e4943c6
vldb-colocation-deep1-final-v4-20260715,d99de8f75c7153f0182b21a9804e050a45c8c4e60c04ceac37e7071afa4c8bb5,DEEP1M,24,24,0.75,measure,2,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,2,200,10,10000,0.98907,8253.0,270.9734,701357.4872,2403.455,2837.489,3018.619,raw/24/measure_r2/cn.json,d334037573ff9bb4ac9b13875094203e44fc8c007130c3d175704d50061bbd24,raw/24/measure_r2/manifest.json,888e79e494ffd2df6aab0e2283485760f2182ce8c7200c510534b0769e366d85
vldb-colocation-deep1-final-v4-20260715,d99de8f75c7153f0182b21a9804e050a45c8c4e60c04ceac37e7071afa4c8bb5,DEEP1M,24,24,0.75,measure,3,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,2,200,10,10000,0.98907,8251.0,270.9734,701357.4872,2404.631,2822.2780000000002,3018.876,raw/24/measure_r3/cn.json,04a9e545115f21e0a51f07377fb56d4fbd1a272f2a90506856ff3477ffe44c0c,raw/24/measure_r3/manifest.json,2b4a5263a399929270df9dbbfd15a457f0789f1e34885c7247e8585d727a2464
vldb-colocation-deep1-final-v4-20260715,d99de8f75c7153f0182b21a9804e050a45c8c4e60c04ceac37e7071afa4c8bb5,DEEP1M,24,24,0.75,measure,4,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,2,200,10,10000,0.98907,8255.0,270.9734,701357.4872,2404.139,2823.311,3008.64,raw/24/measure_r4/cn.json,9b47539981fc0094a6f48a626cf3b64e0eae70f5146c43ede8641b43dcdb8062,raw/24/measure_r4/manifest.json,d8533af84119eb22fd31fc323d0046b1f0c6d751eb422e9011f0f287617d05fc
