dataset,method,ef,n,campaign_ids,binary_sha256s,threads,query_contexts,top_k,metric,expected_queries,recall_mean,recall_median,recall_ci95,qps_mean,qps_median,qps_ci95,run_ids,p50_us_n,p50_us_mean,p50_us_median,p50_us_ci95,p95_us_n,p95_us_mean,p95_us_median,p95_us_ci95,p99_us_n,p99_us_mean,p99_us_median,p99_us_ci95,mean_latency_us_n,mean_latency_us_mean,mean_latency_us_median,mean_latency_us_ci95,posts_per_query_n,posts_per_query_mean,posts_per_query_median,posts_per_query_ci95,bytes_per_query_n,bytes_per_query_mean,bytes_per_query_median,bytes_per_query_ci95,network_us_n,network_us_mean,network_us_median,network_us_ci95,compute_us_n,compute_us_mean,compute_us_median,compute_us_ci95,meta_us_n,meta_us_mean,meta_us_median,meta_us_ci95,deserialize_us_n,deserialize_us_mean,deserialize_us_median,deserialize_us_ci95
DEEP10M,SHINE,48.0,5,vldb-frontier-deep10-sw-final-v1-20260713,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.9317,0.9317,0.0,1860.4,1861.0,4.611837568692115,r1;r2;r3;r4;r5,5,10942.7788,10945.372,37.27990750770318,5,14358.1346,14364.069,39.38780288669529,5,15805.784000000001,15802.528,79.94478700814597,0,,,,5,1788.8939,1788.8939,0.0,5,719805.3472,719805.3472,0.0,0,,,,0,,,,0,,,,0,,,
DEEP10M,SHINE,64.0,5,vldb-frontier-deep10-sw-final-v1-20260713,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.95181,0.95181,0.0,1496.2,1497.0,3.866520585746311,r1;r2;r3;r4;r5,5,13646.2624,13641.837,38.74988285881184,5,17929.273,17916.71,41.6253501272713,5,19430.0538,19416.57,59.055112476450425,0,,,,5,2219.6679,2219.6679,0.0,5,893934.4072,893934.4072,0.0,0,,,,0,,,,0,,,,0,,,
DEEP10M,SHINE,96.0,5,vldb-frontier-deep10-sw-final-v1-20260713,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.97159,0.97159,0.0,1090.0,1089.0,3.9258568491477117,r1;r2;r3;r4;r5,5,18803.6626,18831.416,67.46158641159182,5,24898.3662,24912.535,130.7975389626305,5,26780.7004,26771.841,105.65179823630824,0,,,,5,3043.5451,3043.5451,0.0,5,1227148.3352,1227148.3352,0.0,0,,,,0,,,,0,,,,0,,,
DEEP10M,SHINE,128.0,5,vldb-frontier-deep10-sw-final-v1-20260713,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.98171,0.98171,0.0,863.4,863.0,3.6827801672106357,r1;r2;r3;r4;r5,5,23731.3846,23764.061,82.2169346034382,5,31750.0698,31799.077,153.39626056152943,5,34106.4926,34172.045,188.46789649389086,0,,,,5,3829.0777,3829.0777,0.0,5,1545048.5164,1545048.5164,0.0,0,,,,0,,,,0,,,,0,,,
DEEP10M,SHINE,200.0,5,vldb-frontier-deep10-sw-final-v1-20260713,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.99008,0.99008,0.0,599.0,599.0,1.9629284245738559,r1;r2;r3;r4;r5,5,34193.881199999996,34203.058,67.11444790455005,5,46524.8698,46552.398,171.77553386996178,5,50283.2706,50318.648,282.50014262918273,0,,,,5,5493.3328,5493.3328,0.0,5,2219068.6148,2219068.6148,0.0,0,,,,0,,,,0,,,,0,,,
DEEP10M,SlabWalk,48.0,5,vldb-frontier-deep10-sw-final-v1-20260713,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.93184,0.93184,0.0,29151.8,29252.0,529.4352383442567,r1;r2;r3;r4;r5,5,649.8602000000001,646.886,7.168276697543685,5,750.1166,747.398,15.055263066512323,5,849.5252,842.741,29.174778417885644,0,,,,5,51.0427,51.0427,0.0,5,225848.6456,225848.6456,0.0,0,,,,0,,,,0,,,,0,,,
DEEP10M,SlabWalk,64.0,5,vldb-frontier-deep10-sw-final-v1-20260713,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.95181,0.95181,0.0,23025.0,23021.0,57.42362501967287,r1;r2;r3;r4;r5,5,834.6454,834.133,1.4930773741824008,5,937.1414,937.9970000000001,4.103581059312116,5,1018.4712,1020.626,8.379016863145319,0,,,,5,66.7179,66.7179,0.0,5,295810.5192,295810.5192,0.0,0,,,,0,,,,0,,,,0,,,
DEEP10M,SlabWalk,96.0,5,vldb-frontier-deep10-sw-final-v1-20260713,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.97174,0.97174,0.0,15977.6,15975.0,15.245270353785134,r1;r2;r3;r4;r5,5,1219.205,1218.787,1.3945423262005678,5,1333.654,1334.304,6.523954196171813,5,1403.1478,1402.839,5.75388501141621,0,,,,5,98.3039,98.3039,0.0,5,436285.5224,436285.5224,0.0,0,,,,0,,,,0,,,,0,,,
DEEP10M,SlabWalk,128.0,5,vldb-frontier-deep10-sw-final-v1-20260713,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.98161,0.98161,0.0,12303.0,12301.0,42.29188396844009,r1;r2;r3;r4;r5,5,1594.4482,1592.813,3.8693528111600872,5,1732.3576,1729.037,6.841260290549964,5,1803.9394,1801.785,6.830592149377633,0,,,,5,130.0994,130.0994,0.0,5,577079.8448,577079.8448,0.0,0,,,,0,,,,0,,,,0,,,
DEEP10M,SlabWalk,200.0,5,vldb-frontier-deep10-sw-final-v1-20260713,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.99017,0.99017,0.0,8063.6,8080.0,52.499437217555005,r1;r2;r3;r4;r5,5,2444.9248000000002,2447.1710000000003,8.04157846629222,5,2645.4236,2633.2580000000003,23.62932430479951,5,2755.6554,2721.889,70.2971797637385,0,,,,5,201.7905,201.7905,0.0,5,893636.1384,893636.1384,0.0,0,,,,0,,,,0,,,,0,,,
