dataset,method,variant,campaign_id,protocol_fingerprint,binary_sha256,run_id,run_kind,trace,measurement_mode,threads,query_contexts,coroutines,top_k,metric,ef,m,efc,query_suffix,lavd,index_region_bytes,lavd_region_bytes,env,recall,qps,p50_us,p95_us,p99_us,posts_per_q,bytes_per_q,processed,expected_queries,failed_queries,trace_csv,json,stderr,status
DEEP10M,SHINE,shine_path,vldb-frontier-deep10-sw-final-v1-20260713,692b1dbac285342548d7737a912cd78476cf2cf1e5984e925ae12a85e5e10e50,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,r5,measure,0,fixed_query_pool,10,10,2,10,l2,48,32,200,uniform,0,17179869184,0,none,0.9317,1866,10895.899,14309.571,15717.711000000001,1788.8939,719805.3472,10000,10000,0,,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_deep10_sw_final_v1_20260713/sw_r5/DEEP10M_shine_path_r5_measure_T10_ef48.json,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_deep10_sw_final_v1_20260713/sw_r5/DEEP10M_shine_path_r5_measure_T10_ef48.err,ok
DEEP10M,SlabWalk,slabwalk_expansion,vldb-frontier-deep10-sw-final-v1-20260713,10b4d6ec6ea414516fd52a5f3f0dac31813d0ca38cfd3c4d793a2692169ccf9b,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,r5,measure,0,fixed_query_pool,10,10,2,10,l2,48,32,200,uniform,8,17179869184,42949672960,SHINE_CRANE=1 GB_BITMAP_DEDUP=1 SHINE_LAVD_NATIVE_PACKED_WRITE=1 SHINE_LAVD_VARBLOCK=1 SHINE_LAVD_BUILD_THREADS=20 SHINE_LAVD_BUILD_CPU_BASE=1 SHINE_LAVD_BUILD_CPU_STRIDE=2,0.93184,28408,659.595,771.083,885.331,51.0427,225848.6456,10000,10000,0,,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_deep10_sw_final_v1_20260713/sw_r5/DEEP10M_slabwalk_expansion_r5_measure_T10_ef48.json,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_deep10_sw_final_v1_20260713/sw_r5/DEEP10M_slabwalk_expansion_r5_measure_T10_ef48.err,ok
DEEP10M,SHINE,shine_path,vldb-frontier-deep10-sw-final-v1-20260713,e9a2e0cce7fcf7972d3af020d47c5d02c85850b65061c7c84b3f3d47c7b69e6c,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,r5,measure,0,fixed_query_pool,10,10,2,10,l2,64,32,200,uniform,0,17179869184,0,none,0.95181,1496,13644.524,17891.707000000002,19401.112,2219.6679,893934.4072,10000,10000,0,,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_deep10_sw_final_v1_20260713/sw_r5/DEEP10M_shine_path_r5_measure_T10_ef64.json,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_deep10_sw_final_v1_20260713/sw_r5/DEEP10M_shine_path_r5_measure_T10_ef64.err,ok
DEEP10M,SlabWalk,slabwalk_expansion,vldb-frontier-deep10-sw-final-v1-20260713,5ad9d21f538725ef16f81e0ea85b400ba6cb2f68d6e2c1eac933855aacb5f051,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,r5,measure,0,fixed_query_pool,10,10,2,10,l2,64,32,200,uniform,8,17179869184,42949672960,SHINE_CRANE=1 GB_BITMAP_DEDUP=1 SHINE_LAVD_NATIVE_PACKED_WRITE=1 SHINE_LAVD_VARBLOCK=1 SHINE_LAVD_BUILD_THREADS=20 SHINE_LAVD_BUILD_CPU_BASE=1 SHINE_LAVD_BUILD_CPU_STRIDE=2,0.95181,22959,833.979,933.727,1017.3870000000001,66.7179,295810.5192,10000,10000,0,,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_deep10_sw_final_v1_20260713/sw_r5/DEEP10M_slabwalk_expansion_r5_measure_T10_ef64.json,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_deep10_sw_final_v1_20260713/sw_r5/DEEP10M_slabwalk_expansion_r5_measure_T10_ef64.err,ok
DEEP10M,SHINE,shine_path,vldb-frontier-deep10-sw-final-v1-20260713,208b0cd4f8b363bbc08c4f11c249439356d4fb33a8e44a701615233c7a269349,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,r5,measure,0,fixed_query_pool,10,10,2,10,l2,96,32,200,uniform,0,17179869184,0,none,0.97159,1088,18834.215,24946.149,26771.841,3043.5451,1227148.3352,10000,10000,0,,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_deep10_sw_final_v1_20260713/sw_r5/DEEP10M_shine_path_r5_measure_T10_ef96.json,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_deep10_sw_final_v1_20260713/sw_r5/DEEP10M_shine_path_r5_measure_T10_ef96.err,ok
DEEP10M,SlabWalk,slabwalk_expansion,vldb-frontier-deep10-sw-final-v1-20260713,2e775f90aab2b30dab299cc716f1cf3d916d644441a68f2d97ffda0e034e992e,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,r5,measure,0,fixed_query_pool,10,10,2,10,l2,96,32,200,uniform,8,17179869184,42949672960,SHINE_CRANE=1 GB_BITMAP_DEDUP=1 SHINE_LAVD_NATIVE_PACKED_WRITE=1 SHINE_LAVD_VARBLOCK=1 SHINE_LAVD_BUILD_THREADS=20 SHINE_LAVD_BUILD_CPU_BASE=1 SHINE_LAVD_BUILD_CPU_STRIDE=2,0.97174,15983,1221.132,1330.285,1402.839,98.3039,436285.5224,10000,10000,0,,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_deep10_sw_final_v1_20260713/sw_r5/DEEP10M_slabwalk_expansion_r5_measure_T10_ef96.json,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_deep10_sw_final_v1_20260713/sw_r5/DEEP10M_slabwalk_expansion_r5_measure_T10_ef96.err,ok
DEEP10M,SHINE,shine_path,vldb-frontier-deep10-sw-final-v1-20260713,670a482b09941426790bd0ee3baa77a8f61d1897f7fa25142ca881ad72cb0131,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,r5,measure,0,fixed_query_pool,10,10,2,10,l2,128,32,200,uniform,0,17179869184,0,none,0.98171,860,23764.331000000002,31848.682,34212.36,3829.0777,1545048.5164,10000,10000,0,,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_deep10_sw_final_v1_20260713/sw_r5/DEEP10M_shine_path_r5_measure_T10_ef128.json,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_deep10_sw_final_v1_20260713/sw_r5/DEEP10M_shine_path_r5_measure_T10_ef128.err,ok
DEEP10M,SlabWalk,slabwalk_expansion,vldb-frontier-deep10-sw-final-v1-20260713,f1af6080c22426cac625de969f1622aa12b72c639f38f47392be8006bf402e0e,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,r5,measure,0,fixed_query_pool,10,10,2,10,l2,128,32,200,uniform,8,17179869184,42949672960,SHINE_CRANE=1 GB_BITMAP_DEDUP=1 SHINE_LAVD_NATIVE_PACKED_WRITE=1 SHINE_LAVD_VARBLOCK=1 SHINE_LAVD_BUILD_THREADS=20 SHINE_LAVD_BUILD_CPU_BASE=1 SHINE_LAVD_BUILD_CPU_STRIDE=2,0.98161,12275,1597.982,1729.037,1797.762,130.0994,577079.8448,10000,10000,0,,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_deep10_sw_final_v1_20260713/sw_r5/DEEP10M_slabwalk_expansion_r5_measure_T10_ef128.json,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_deep10_sw_final_v1_20260713/sw_r5/DEEP10M_slabwalk_expansion_r5_measure_T10_ef128.err,ok
DEEP10M,SHINE,shine_path,vldb-frontier-deep10-sw-final-v1-20260713,d62b7e91e308ee771d9e32547b4be967f3aa47a2b82b72546ede39a71b3b6fe7,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,r5,measure,0,fixed_query_pool,10,10,2,10,l2,200,32,200,uniform,0,17179869184,0,none,0.99008,597,34245.532,46706.115,50599.073000000004,5493.3328,2219068.6148,10000,10000,0,,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_deep10_sw_final_v1_20260713/sw_r5/DEEP10M_shine_path_r5_measure_T10_ef200.json,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_deep10_sw_final_v1_20260713/sw_r5/DEEP10M_shine_path_r5_measure_T10_ef200.err,ok
DEEP10M,SlabWalk,slabwalk_expansion,vldb-frontier-deep10-sw-final-v1-20260713,3b2de96b6ce50fccad9b9e621e9e97c8758b577fb292900f4c68f91e19898c33,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,r5,measure,0,fixed_query_pool,10,10,2,10,l2,200,32,200,uniform,8,17179869184,42949672960,SHINE_CRANE=1 GB_BITMAP_DEDUP=1 SHINE_LAVD_NATIVE_PACKED_WRITE=1 SHINE_LAVD_VARBLOCK=1 SHINE_LAVD_BUILD_THREADS=20 SHINE_LAVD_BUILD_CPU_BASE=1 SHINE_LAVD_BUILD_CPU_STRIDE=2,0.99017,8092,2442.898,2632.588,2721.889,201.7905,893636.1384,10000,10000,0,,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_deep10_sw_final_v1_20260713/sw_r5/DEEP10M_slabwalk_expansion_r5_measure_T10_ef200.json,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_deep10_sw_final_v1_20260713/sw_r5/DEEP10M_slabwalk_expansion_r5_measure_T10_ef200.err,ok
