dataset,ef,campaign_id,protocol_fingerprint,binary_sha256,threads,duration_s,measurement_mode,processed_queries,expected_queries,failed_queries,wall_seconds,top_k,metric,query_rows,ground_truth_rows,query_rows_per_ground_truth,qps_recomputed,recall,latency_us,network_us,compute_us,meta_us,deserialize_us,raw_qps_buggy,server_rss_before_gb,server_rss_after_gb,status
tti10M,48,vldb-dhnsw-text-sift-node7-final-v3-20260713,e0de9cf9c92ae91dd277f2ed1ba05201d2aed6eb46169b5ffdb839305dabd0e4,60ddb08234a93c431f94fea3cb37d9b109a3feb207d7b72eb8887bc28afff595,10,20,fixed_query_pool,10000,10000,0,24.856790,10,ip,10000,10000,1,402.305,0.573500,21059.800,1838.170,557.284,39.535,7637.350,47.9384,43.794,44.968,ok
tti10M,64,vldb-dhnsw-text-sift-node7-final-v3-20260713,e7501ee2b27d823c4dbb4771e18a50ede1c1230a1b0cb2bfc77342fdd866fefd,60ddb08234a93c431f94fea3cb37d9b109a3feb207d7b72eb8887bc28afff595,10,20,fixed_query_pool,10000,10000,0,23.613344,10,ip,10000,10000,1,423.489,0.584510,21561.700,2027.790,677.522,42.676,7423.930,46.5785,43.794,44.968,ok
tti10M,96,vldb-dhnsw-text-sift-node7-final-v3-20260713,6db22294e325f29dcc9aeeae1fbd9decdad1b4d6f418216052a72f640a9cc63c,60ddb08234a93c431f94fea3cb37d9b109a3feb207d7b72eb8887bc28afff595,10,20,fixed_query_pool,10000,10000,0,24.621436,10,ip,10000,10000,1,406.150,0.592970,23041.800,1923.970,914.219,42.920,7865.610,43.4777,43.794,44.968,ok
tti10M,128,vldb-dhnsw-text-sift-node7-final-v3-20260713,f7f9ecd22b34e68c853fec81cc2f7dd9add2015f2e0bf18ab09c8fbc1a2cf81b,60ddb08234a93c431f94fea3cb37d9b109a3feb207d7b72eb8887bc28afff595,10,20,fixed_query_pool,10000,10000,0,25.324133,10,ip,10000,10000,1,394.880,0.597450,22916.700,1921.920,1174.880,42.876,8044.780,43.8821,43.794,44.968,ok
tti10M,200,vldb-dhnsw-text-sift-node7-final-v3-20260713,0879106585396e29298d8e49be80acb3914c21c4ad16baab4a3d54a7b5b1f96b,60ddb08234a93c431f94fea3cb37d9b109a3feb207d7b72eb8887bc28afff595,10,20,fixed_query_pool,10000,10000,0,24.287700,10,ip,10000,10000,1,411.731,0.601510,21585.800,2040.120,1573.360,46.325,7883.620,46.381,43.794,44.968,ok
sift10M,48,vldb-dhnsw-text-sift-node7-final-v3-20260713,ea2542e1d246610fcdf07ae772f958be71ddc180c7d2ee3dfe6ad98ff97b298b,60ddb08234a93c431f94fea3cb37d9b109a3feb207d7b72eb8887bc28afff595,10,20,fixed_query_pool,10000,10000,0,21.429479,10,l2,10000,10000,1,466.647,0.887450,18849.200,1596.610,719.114,41.096,7001.620,53.4655,32.365,33.779,ok
sift10M,64,vldb-dhnsw-text-sift-node7-final-v3-20260713,a03bd3735d95e67e05a4ea3b8ed20e9a24ed25c1d21ab698511c3a209981a389,60ddb08234a93c431f94fea3cb37d9b109a3feb207d7b72eb8887bc28afff595,10,20,fixed_query_pool,10000,10000,0,21.599587,10,l2,10000,10000,1,462.972,0.894970,18922.900,1570.540,807.411,39.895,6761.620,53.2477,32.365,33.779,ok
sift10M,96,vldb-dhnsw-text-sift-node7-final-v3-20260713,404f1bb8c141bc6e9ace65c1cf0063172c4d5d1bf639e1bb87ed5e48fc11a8ef,60ddb08234a93c431f94fea3cb37d9b109a3feb207d7b72eb8887bc28afff595,10,20,fixed_query_pool,10000,10000,0,21.744993,10,l2,10000,10000,1,459.876,0.900770,19152.700,1666.570,1107.540,37.693,6917.620,52.6713,32.365,33.779,ok
sift10M,128,vldb-dhnsw-text-sift-node7-final-v3-20260713,297856bcdc09dda9d9c141b7300d7d3cfef525aba886fc2bfe687309ffdd6b30,60ddb08234a93c431f94fea3cb37d9b109a3feb207d7b72eb8887bc28afff595,10,20,fixed_query_pool,10000,10000,0,21.423240,10,l2,10000,10000,1,466.783,0.902900,18964.200,1540.110,1237.270,42.418,6430.180,52.9815,32.365,33.779,ok
sift10M,200,vldb-dhnsw-text-sift-node7-final-v3-20260713,332fb1216ae6a92185a83a6e481a712ef0a3660fd437d5833bb373c99b5208e2,60ddb08234a93c431f94fea3cb37d9b109a3feb207d7b72eb8887bc28afff595,10,20,fixed_query_pool,10000,10000,0,21.588452,10,l2,10000,10000,1,463.211,0.904620,18858.000,1651.330,1656.370,41.153,6390.610,53.4101,32.365,33.779,ok
