dataset,method,ef,n,campaign_ids,binary_sha256s,threads,query_contexts,top_k,metric,expected_queries,recall_mean,recall_median,recall_ci95,qps_mean,qps_median,qps_ci95,run_ids,p50_us_n,p50_us_mean,p50_us_median,p50_us_ci95,p95_us_n,p95_us_mean,p95_us_median,p95_us_ci95,p99_us_n,p99_us_mean,p99_us_median,p99_us_ci95,mean_latency_us_n,mean_latency_us_mean,mean_latency_us_median,mean_latency_us_ci95,posts_per_query_n,posts_per_query_mean,posts_per_query_median,posts_per_query_ci95,bytes_per_query_n,bytes_per_query_mean,bytes_per_query_median,bytes_per_query_ci95,network_us_n,network_us_mean,network_us_median,network_us_ci95,compute_us_n,compute_us_mean,compute_us_median,compute_us_ci95,meta_us_n,meta_us_mean,meta_us_median,meta_us_ci95,deserialize_us_n,deserialize_us_mean,deserialize_us_median,deserialize_us_ci95
BIGANN1M,SHINE,48.0,5,vldb-1m-seven-final-v2-20260715,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.93218,0.93218,0.0,3188.2,3186.0,9.389283968439765,r1;r2;r3;r4;r5,5,6360.1704,6358.621,20.39653747592746,5,8021.7016,8017.429,23.8544715328157,5,8904.247000000001,8903.459,78.05742131686976,0,,,,5,1044.9142,1044.9142,0.0,5,534534.0172,534534.0172,0.0,0,,,,0,,,,0,,,,0,,,
BIGANN1M,SHINE,64.0,5,vldb-1m-seven-final-v2-20260715,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.95364,0.95364,0.0,2563.4,2563.0,9.19019526234345,r1;r2;r3;r4;r5,5,7966.2546,7957.982,27.985844842690373,5,9914.019,9893.566,46.44517385315732,5,10791.6954,10791.789,48.80194611545241,0,,,,5,1293.6558,1293.6558,0.0,5,661682.4036,661682.4036,0.0,0,,,,0,,,,0,,,,0,,,
BIGANN1M,SHINE,80.0,5,vldb-1m-seven-final-v2-20260715,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.96736,0.96736,0.0,2157.6,2155.0,10.446025663380308,r1;r2;r3;r4;r5,5,9493.7808,9505.591,46.67529695865679,5,11819.182,11825.562,65.56724744843507,5,12737.8596,12718.917,54.061649762929115,0,,,,5,1536.7544,1536.7544,0.0,5,785803.6088,785803.6088,0.0,0,,,,0,,,,0,,,,0,,,
BIGANN1M,SHINE,100.0,5,vldb-1m-seven-final-v2-20260715,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.97719,0.97719,0.0,1879.6,1880.0,3.984309546207472,r1;r2;r3;r4;r5,5,10924.8736,10933.991,25.23203482692446,5,13634.1656,13625.08,23.807069071562662,5,14573.4312,14581.008,38.21240038652918,0,,,,5,1832.1429,1832.1429,0.0,5,936462.2832,936462.2832,0.0,0,,,,0,,,,0,,,,0,,,
BIGANN1M,SHINE,150.0,5,vldb-1m-seven-final-v2-20260715,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.98916,0.98916,0.0,1349.4,1349.0,3.5766258065388943,r1;r2;r3;r4;r5,5,15247.0476,15249.938,46.08649249546684,5,19212.23,19241.602,88.04838351262859,5,20507.2864,20502.347,119.95782161382853,0,,,,5,2538.2258,2538.2258,0.0,5,1295942.9572,1295942.9572,0.0,0,,,,0,,,,0,,,,0,,,
BIGANN1M,SHINE,200.0,5,vldb-1m-seven-final-v2-20260715,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.99386,0.99386,0.0,1062.6,1062.0,1.8827748033155745,r1;r2;r3;r4;r5,5,19375.7656,19379.5,14.83065597190541,5,24574.0106,24572.777000000002,70.81913540170656,5,26173.8142,26179.277000000002,71.37349630979573,0,,,,5,3206.6383,3206.6383,0.0,5,1635512.1396,1635512.1396,0.0,0,,,,0,,,,0,,,,0,,,
BIGANN1M,SlabWalk,48.0,5,vldb-1m-seven-final-v2-20260715,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.9321,0.9321,0.0,35782.6,35785.0,97.5423357325423,r1;r2;r3;r4;r5,5,537.8358000000001,538.4780000000001,2.135705528474346,5,616.8586,617.993,2.966177836400693,5,819.9804,815.338,16.322383678590345,0,,,,5,50.8554,50.8554,0.0,5,242804.5264,242804.5264,0.0,0,,,,0,,,,0,,,,0,,,
BIGANN1M,SlabWalk,64.0,5,vldb-1m-seven-final-v2-20260715,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.95392,0.95392,0.0,27556.8,27532.0,72.55616495267648,r1;r2;r3;r4;r5,5,705.9852,706.244,1.7775691531592046,5,775.6566,777.187,4.420322925620617,5,1041.8648,1038.352,16.569649036329178,0,,,,5,66.4991,66.4991,0.0,5,319239.8456,319239.8456,0.0,0,,,,0,,,,0,,,,0,,,
BIGANN1M,SlabWalk,80.0,5,vldb-1m-seven-final-v2-20260715,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.96736,0.96736,0.0,22267.4,22273.0,36.80268324130728,r1;r2;r3;r4;r5,5,879.0662,879.0740000000001,1.9125091582025804,5,946.2568,946.011,1.9665075843858364,5,1209.3554,1221.145,34.57182972737801,0,,,,5,82.2769,82.2769,0.0,5,396294.1704,396294.1704,0.0,0,,,,0,,,,0,,,,0,,,
BIGANN1M,SlabWalk,100.0,5,vldb-1m-seven-final-v2-20260715,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.97723,0.97723,0.0,18044.6,18035.0,38.10913183162271,r1;r2;r3;r4;r5,5,1089.7774000000002,1089.613,2.7369936207187884,5,1157.7262,1154.845,7.009990158252808,5,1342.5562,1350.795,78.54195356181955,0,,,,5,102.097,102.097,0.0,5,493063.752,493063.752,0.0,0,,,,0,,,,0,,,,0,,,
