dataset,repeat,position,policy,binary_sha256,input_signature,source_tree_sha256,compute_host,requested_bytes,fixed_bytes,record_bytes,admitted_bytes,physical_bytes,unused_bytes,selected_records,total_records,selection_hash,result_hash_version,result_hash,physical_hash_version,physical_hash_algorithm,physical_hash_scope,header_hash_scope,descriptor_hash_scope,map_hash_scope,offset_table_hash_scope,record_payload_hash_scope,selected_uid_hash_scope,budget_map_owner_mn,header_hash,descriptor_hash,map_hash,selected_uid_hash,offset_table_hashes,record_payload_hashes,physical_signature,total_benefit,build_mode,build_workers,rank_workers,rank_workers_recorded,staging_bytes,record_write_posts,processed,qps,recall,p50_us,p95_us,p99_us,posts_per_query,bytes_per_query,build_total_ms,build_rank_ms,build_materialize_ms,build_record_assemble_ms,build_record_publish_ms,result_json,stderr
DEEP1M,0,0,benefit,bf377c5ad52c743759777a38a0fe6d764b8aced6f81b528f80091621e61e8ac8,9a3a08bb2c42513837965f136afdf965f5f29224599dfc845b6c960eb8505703,57976c8bda972c3d2040823766661cb9d790545f2b82a6caa325f6c375aea44c,skv-node3,536870912,12016392,524854480,536870872,536870872,40,176200,1000000,11573227021002745799,1,8822020575971608226,2,fnv1a64,field_scoped_physical_artifacts,replicated_header_source_bytes,descriptor_slice_of_replicated_header,global_budget_map_source_bytes,per_mn_offset_table_source_bytes,per_mn_record_payload_source_bytes,global_selected_uid_u32le_sequence,0,54183444c6afa493,3da1916f6d9071c5,bdcdbc1517536791,18d54959671ac9ac,5896cacb001ebde5,2e76eda52fc99e98,a57ac2df4893003d689249262709278c3af200ee797d7be64d7751e2b38b2617,169574781,staged,20,20,1,67108864,8,10000,6281.0,0.98907,10062.238,11636.045,12495.268,348.1768,915559.74,3001.657215,270.053366,1118.350907,258.714252,45.901635,/home/kvgroup/chaomei/graphbeyond-c1-vldb-v2-20260716/results/vldb_v3_evidence_v2_node3_materialization_policy_formal_20260716T204600Z/raw/DEEP1M/b536870912/benefit/r0/result.json,/home/kvgroup/chaomei/graphbeyond-c1-vldb-v2-20260716/results/vldb_v3_evidence_v2_node3_materialization_policy_formal_20260716T204600Z/raw/DEEP1M/b536870912/benefit/r0/run.err
DEEP1M,0,1,indeg,bf377c5ad52c743759777a38a0fe6d764b8aced6f81b528f80091621e61e8ac8,9a3a08bb2c42513837965f136afdf965f5f29224599dfc845b6c960eb8505703,57976c8bda972c3d2040823766661cb9d790545f2b82a6caa325f6c375aea44c,skv-node3,536870912,12016392,524854496,536870888,536870888,24,177098,1000000,17395791157795909511,1,8822020575971608226,2,fnv1a64,field_scoped_physical_artifacts,replicated_header_source_bytes,descriptor_slice_of_replicated_header,global_budget_map_source_bytes,per_mn_offset_table_source_bytes,per_mn_record_payload_source_bytes,global_selected_uid_u32le_sequence,0,22163039f8ed4f4c,a55059e524d93cd5,c5ca5db552e3f590,91ea0a6d49eabf38,93444b86ef672a15,8fd3f0cc2e28bc03,b79c2e9536e4fe7b792dc182fab3e60ee989693e69acdc0da571f133d389cd2c,169572963,staged,20,20,1,67108864,8,10000,6280.0,0.98907,10058.092,11672.438,12676.797,348.1563,916301.674,2816.111337,269.25874799999997,1115.886303,261.920841,45.90206,/home/kvgroup/chaomei/graphbeyond-c1-vldb-v2-20260716/results/vldb_v3_evidence_v2_node3_materialization_policy_formal_20260716T204600Z/raw/DEEP1M/b536870912/indeg/r0/result.json,/home/kvgroup/chaomei/graphbeyond-c1-vldb-v2-20260716/results/vldb_v3_evidence_v2_node3_materialization_policy_formal_20260716T204600Z/raw/DEEP1M/b536870912/indeg/r0/run.err
DEEP1M,0,2,hop,bf377c5ad52c743759777a38a0fe6d764b8aced6f81b528f80091621e61e8ac8,9a3a08bb2c42513837965f136afdf965f5f29224599dfc845b6c960eb8505703,57976c8bda972c3d2040823766661cb9d790545f2b82a6caa325f6c375aea44c,skv-node3,536870912,12016392,524854464,536870856,536870856,56,201076,1000000,9978105480066486160,1,8822020575971608226,2,fnv1a64,field_scoped_physical_artifacts,replicated_header_source_bytes,descriptor_slice_of_replicated_header,global_budget_map_source_bytes,per_mn_offset_table_source_bytes,per_mn_record_payload_source_bytes,global_selected_uid_u32le_sequence,0,63328171ec63ab39,98a69ee857f479b5,47d8140d1107d315,e4b9d1e9b4d8c580,c431722219ca135f,0f429f5d6a6adc4a,8e31f3542ca75706fce049dcbbaad1a47f2cf1a36028e03271571b022b69230d,131018263,staged,20,20,1,67108864,8,10000,5396.0,0.98907,11908.962,14516.657000000001,15713.092,368.6085,1029850.6992,3586.824922,1234.539078,1077.262272,231.358115,45.885324,/home/kvgroup/chaomei/graphbeyond-c1-vldb-v2-20260716/results/vldb_v3_evidence_v2_node3_materialization_policy_formal_20260716T204600Z/raw/DEEP1M/b536870912/hop/r0/result.json,/home/kvgroup/chaomei/graphbeyond-c1-vldb-v2-20260716/results/vldb_v3_evidence_v2_node3_materialization_policy_formal_20260716T204600Z/raw/DEEP1M/b536870912/hop/r0/run.err
DEEP1M,1,0,indeg,bf377c5ad52c743759777a38a0fe6d764b8aced6f81b528f80091621e61e8ac8,9a3a08bb2c42513837965f136afdf965f5f29224599dfc845b6c960eb8505703,57976c8bda972c3d2040823766661cb9d790545f2b82a6caa325f6c375aea44c,skv-node3,536870912,12016392,524854496,536870888,536870888,24,177098,1000000,17395791157795909511,1,8822020575971608226,2,fnv1a64,field_scoped_physical_artifacts,replicated_header_source_bytes,descriptor_slice_of_replicated_header,global_budget_map_source_bytes,per_mn_offset_table_source_bytes,per_mn_record_payload_source_bytes,global_selected_uid_u32le_sequence,0,22163039f8ed4f4c,a55059e524d93cd5,c5ca5db552e3f590,91ea0a6d49eabf38,93444b86ef672a15,8fd3f0cc2e28bc03,b79c2e9536e4fe7b792dc182fab3e60ee989693e69acdc0da571f133d389cd2c,169572963,staged,20,20,1,67108864,8,10000,6272.0,0.98907,10071.221,11616.81,12552.047,348.1563,916301.674,2817.576005,270.642159,1115.044421,260.896369,45.903801,/home/kvgroup/chaomei/graphbeyond-c1-vldb-v2-20260716/results/vldb_v3_evidence_v2_node3_materialization_policy_formal_20260716T204600Z/raw/DEEP1M/b536870912/indeg/r1/result.json,/home/kvgroup/chaomei/graphbeyond-c1-vldb-v2-20260716/results/vldb_v3_evidence_v2_node3_materialization_policy_formal_20260716T204600Z/raw/DEEP1M/b536870912/indeg/r1/run.err
DEEP1M,1,1,hop,bf377c5ad52c743759777a38a0fe6d764b8aced6f81b528f80091621e61e8ac8,9a3a08bb2c42513837965f136afdf965f5f29224599dfc845b6c960eb8505703,57976c8bda972c3d2040823766661cb9d790545f2b82a6caa325f6c375aea44c,skv-node3,536870912,12016392,524854464,536870856,536870856,56,201076,1000000,9978105480066486160,1,8822020575971608226,2,fnv1a64,field_scoped_physical_artifacts,replicated_header_source_bytes,descriptor_slice_of_replicated_header,global_budget_map_source_bytes,per_mn_offset_table_source_bytes,per_mn_record_payload_source_bytes,global_selected_uid_u32le_sequence,0,63328171ec63ab39,98a69ee857f479b5,47d8140d1107d315,e4b9d1e9b4d8c580,c431722219ca135f,0f429f5d6a6adc4a,8e31f3542ca75706fce049dcbbaad1a47f2cf1a36028e03271571b022b69230d,131018263,staged,20,20,1,67108864,8,10000,5411.0,0.98907,11886.337,14444.907000000001,15671.792,368.6085,1029850.6992,3586.241801,1227.823593,1082.463624,225.587695,45.893088999999996,/home/kvgroup/chaomei/graphbeyond-c1-vldb-v2-20260716/results/vldb_v3_evidence_v2_node3_materialization_policy_formal_20260716T204600Z/raw/DEEP1M/b536870912/hop/r1/result.json,/home/kvgroup/chaomei/graphbeyond-c1-vldb-v2-20260716/results/vldb_v3_evidence_v2_node3_materialization_policy_formal_20260716T204600Z/raw/DEEP1M/b536870912/hop/r1/run.err
DEEP1M,1,2,benefit,bf377c5ad52c743759777a38a0fe6d764b8aced6f81b528f80091621e61e8ac8,9a3a08bb2c42513837965f136afdf965f5f29224599dfc845b6c960eb8505703,57976c8bda972c3d2040823766661cb9d790545f2b82a6caa325f6c375aea44c,skv-node3,536870912,12016392,524854480,536870872,536870872,40,176200,1000000,11573227021002745799,1,8822020575971608226,2,fnv1a64,field_scoped_physical_artifacts,replicated_header_source_bytes,descriptor_slice_of_replicated_header,global_budget_map_source_bytes,per_mn_offset_table_source_bytes,per_mn_record_payload_source_bytes,global_selected_uid_u32le_sequence,0,54183444c6afa493,3da1916f6d9071c5,bdcdbc1517536791,18d54959671ac9ac,5896cacb001ebde5,2e76eda52fc99e98,a57ac2df4893003d689249262709278c3af200ee797d7be64d7751e2b38b2617,169574781,staged,20,20,1,67108864,8,10000,6271.0,0.98907,10084.286,11607.324,12562.394,348.1768,915559.74,3004.214566,269.879058,1113.010568,257.01012299999996,45.921799,/home/kvgroup/chaomei/graphbeyond-c1-vldb-v2-20260716/results/vldb_v3_evidence_v2_node3_materialization_policy_formal_20260716T204600Z/raw/DEEP1M/b536870912/benefit/r1/result.json,/home/kvgroup/chaomei/graphbeyond-c1-vldb-v2-20260716/results/vldb_v3_evidence_v2_node3_materialization_policy_formal_20260716T204600Z/raw/DEEP1M/b536870912/benefit/r1/run.err
DEEP1M,2,0,hop,bf377c5ad52c743759777a38a0fe6d764b8aced6f81b528f80091621e61e8ac8,9a3a08bb2c42513837965f136afdf965f5f29224599dfc845b6c960eb8505703,57976c8bda972c3d2040823766661cb9d790545f2b82a6caa325f6c375aea44c,skv-node3,536870912,12016392,524854464,536870856,536870856,56,201076,1000000,9978105480066486160,1,8822020575971608226,2,fnv1a64,field_scoped_physical_artifacts,replicated_header_source_bytes,descriptor_slice_of_replicated_header,global_budget_map_source_bytes,per_mn_offset_table_source_bytes,per_mn_record_payload_source_bytes,global_selected_uid_u32le_sequence,0,63328171ec63ab39,98a69ee857f479b5,47d8140d1107d315,e4b9d1e9b4d8c580,c431722219ca135f,0f429f5d6a6adc4a,8e31f3542ca75706fce049dcbbaad1a47f2cf1a36028e03271571b022b69230d,131018263,staged,20,20,1,67108864,8,10000,5412.0,0.98907,11861.394,14361.765,15489.501,368.6085,1029850.6992,3581.2757970000002,1238.470581,1064.925442,228.951609,45.918378,/home/kvgroup/chaomei/graphbeyond-c1-vldb-v2-20260716/results/vldb_v3_evidence_v2_node3_materialization_policy_formal_20260716T204600Z/raw/DEEP1M/b536870912/hop/r2/result.json,/home/kvgroup/chaomei/graphbeyond-c1-vldb-v2-20260716/results/vldb_v3_evidence_v2_node3_materialization_policy_formal_20260716T204600Z/raw/DEEP1M/b536870912/hop/r2/run.err
DEEP1M,2,1,benefit,bf377c5ad52c743759777a38a0fe6d764b8aced6f81b528f80091621e61e8ac8,9a3a08bb2c42513837965f136afdf965f5f29224599dfc845b6c960eb8505703,57976c8bda972c3d2040823766661cb9d790545f2b82a6caa325f6c375aea44c,skv-node3,536870912,12016392,524854480,536870872,536870872,40,176200,1000000,11573227021002745799,1,8822020575971608226,2,fnv1a64,field_scoped_physical_artifacts,replicated_header_source_bytes,descriptor_slice_of_replicated_header,global_budget_map_source_bytes,per_mn_offset_table_source_bytes,per_mn_record_payload_source_bytes,global_selected_uid_u32le_sequence,0,54183444c6afa493,3da1916f6d9071c5,bdcdbc1517536791,18d54959671ac9ac,5896cacb001ebde5,2e76eda52fc99e98,a57ac2df4893003d689249262709278c3af200ee797d7be64d7751e2b38b2617,169574781,staged,20,20,1,67108864,8,10000,6294.0,0.98907,10054.596,11562.959,12463.782000000001,348.1768,915559.74,2997.140555,269.814829,1110.147325,259.025557,45.925156,/home/kvgroup/chaomei/graphbeyond-c1-vldb-v2-20260716/results/vldb_v3_evidence_v2_node3_materialization_policy_formal_20260716T204600Z/raw/DEEP1M/b536870912/benefit/r2/result.json,/home/kvgroup/chaomei/graphbeyond-c1-vldb-v2-20260716/results/vldb_v3_evidence_v2_node3_materialization_policy_formal_20260716T204600Z/raw/DEEP1M/b536870912/benefit/r2/run.err
DEEP1M,2,2,indeg,bf377c5ad52c743759777a38a0fe6d764b8aced6f81b528f80091621e61e8ac8,9a3a08bb2c42513837965f136afdf965f5f29224599dfc845b6c960eb8505703,57976c8bda972c3d2040823766661cb9d790545f2b82a6caa325f6c375aea44c,skv-node3,536870912,12016392,524854496,536870888,536870888,24,177098,1000000,17395791157795909511,1,8822020575971608226,2,fnv1a64,field_scoped_physical_artifacts,replicated_header_source_bytes,descriptor_slice_of_replicated_header,global_budget_map_source_bytes,per_mn_offset_table_source_bytes,per_mn_record_payload_source_bytes,global_selected_uid_u32le_sequence,0,22163039f8ed4f4c,a55059e524d93cd5,c5ca5db552e3f590,91ea0a6d49eabf38,93444b86ef672a15,8fd3f0cc2e28bc03,b79c2e9536e4fe7b792dc182fab3e60ee989693e69acdc0da571f133d389cd2c,169572963,staged,20,20,1,67108864,8,10000,6263.0,0.98907,10079.795,11676.454,12527.971,348.1563,916301.674,2806.011275,269.302977,1103.8180419999999,254.652311,45.891341,/home/kvgroup/chaomei/graphbeyond-c1-vldb-v2-20260716/results/vldb_v3_evidence_v2_node3_materialization_policy_formal_20260716T204600Z/raw/DEEP1M/b536870912/indeg/r2/result.json,/home/kvgroup/chaomei/graphbeyond-c1-vldb-v2-20260716/results/vldb_v3_evidence_v2_node3_materialization_policy_formal_20260716T204600Z/raw/DEEP1M/b536870912/indeg/r2/run.err
DEEP1M,3,0,benefit,bf377c5ad52c743759777a38a0fe6d764b8aced6f81b528f80091621e61e8ac8,9a3a08bb2c42513837965f136afdf965f5f29224599dfc845b6c960eb8505703,57976c8bda972c3d2040823766661cb9d790545f2b82a6caa325f6c375aea44c,skv-node3,536870912,12016392,524854480,536870872,536870872,40,176200,1000000,11573227021002745799,1,8822020575971608226,2,fnv1a64,field_scoped_physical_artifacts,replicated_header_source_bytes,descriptor_slice_of_replicated_header,global_budget_map_source_bytes,per_mn_offset_table_source_bytes,per_mn_record_payload_source_bytes,global_selected_uid_u32le_sequence,0,54183444c6afa493,3da1916f6d9071c5,bdcdbc1517536791,18d54959671ac9ac,5896cacb001ebde5,2e76eda52fc99e98,a57ac2df4893003d689249262709278c3af200ee797d7be64d7751e2b38b2617,169574781,staged,20,20,1,67108864,8,10000,6276.0,0.98907,10069.148000000001,11659.65,12617.594000000001,348.1768,915559.74,2997.395501,268.501931,1116.636886,265.062616,45.893100999999994,/home/kvgroup/chaomei/graphbeyond-c1-vldb-v2-20260716/results/vldb_v3_evidence_v2_node3_materialization_policy_formal_20260716T204600Z/raw/DEEP1M/b536870912/benefit/r3/result.json,/home/kvgroup/chaomei/graphbeyond-c1-vldb-v2-20260716/results/vldb_v3_evidence_v2_node3_materialization_policy_formal_20260716T204600Z/raw/DEEP1M/b536870912/benefit/r3/run.err
