dataset,requested_bytes,policy,n,binary_sha256,input_signature,source_tree_sha256,compute_host,selection_hash,result_hash_version,result_hash,physical_hash_version,physical_hash_algorithm,physical_hash_scope,header_hash_scope,descriptor_hash_scope,map_hash_scope,offset_table_hash_scope,record_payload_hash_scope,selected_uid_hash_scope,budget_map_owner_mn,physical_signature,physical_bytes,selected_records,build_mode,build_workers,rank_workers,rank_workers_recorded,staging_bytes,qps_mean,qps_ci95,recall_mean,recall_ci95,p50_us_mean,p50_us_ci95,p95_us_mean,p95_us_ci95,p99_us_mean,p99_us_ci95,posts_per_query_mean,posts_per_query_ci95,bytes_per_query_mean,bytes_per_query_ci95,build_total_ms_mean,build_total_ms_ci95,build_rank_ms_mean,build_rank_ms_ci95,build_materialize_ms_mean,build_materialize_ms_ci95,record_write_posts_mean,record_write_posts_ci95,build_record_assemble_ms_mean,build_record_assemble_ms_ci95,build_record_publish_ms_mean,build_record_publish_ms_ci95
DEEP1M,536870912,benefit,6,bf377c5ad52c743759777a38a0fe6d764b8aced6f81b528f80091621e61e8ac8,9a3a08bb2c42513837965f136afdf965f5f29224599dfc845b6c960eb8505703,57976c8bda972c3d2040823766661cb9d790545f2b82a6caa325f6c375aea44c,skv-node3,11573227021002745799,1,8822020575971608226,2,fnv1a64,field_scoped_physical_artifacts,replicated_header_source_bytes,descriptor_slice_of_replicated_header,global_budget_map_source_bytes,per_mn_offset_table_source_bytes,per_mn_record_payload_source_bytes,global_selected_uid_u32le_sequence,0,a57ac2df4893003d689249262709278c3af200ee797d7be64d7751e2b38b2617,536870872,176200,staged,20,20,1,67108864,6284.333333333333,10.255393546812334,0.98907,0.0,10060.710500000001,15.540198130277446,11626.736,40.34055446167005,12565.044666666667,75.2366092942361,348.1768,0.0,915559.74,0.0,2998.7359306666667,3.6323005818069594,268.97417566666667,1.1269623603166752,1114.3224766666667,3.026480293484759,8.0,0.0,259.34037383333333,3.745985020965755,45.90994383333333,0.012652601926341656
DEEP1M,536870912,hop,6,bf377c5ad52c743759777a38a0fe6d764b8aced6f81b528f80091621e61e8ac8,9a3a08bb2c42513837965f136afdf965f5f29224599dfc845b6c960eb8505703,57976c8bda972c3d2040823766661cb9d790545f2b82a6caa325f6c375aea44c,skv-node3,9978105480066486160,1,8822020575971608226,2,fnv1a64,field_scoped_physical_artifacts,replicated_header_source_bytes,descriptor_slice_of_replicated_header,global_budget_map_source_bytes,per_mn_offset_table_source_bytes,per_mn_record_payload_source_bytes,global_selected_uid_u32le_sequence,0,8e31f3542ca75706fce049dcbbaad1a47f2cf1a36028e03271571b022b69230d,536870856,201076,staged,20,20,1,67108864,5403.0,8.344205486443872,0.98907,0.0,11888.634166666667,22.17558453910701,14440.207333333334,53.67708109915275,15636.569666666666,92.21488425245332,368.6085,0.0,1029850.6992,0.0,3584.5616473333334,4.567759945118075,1231.9703138333334,4.494343276616271,1076.0687788333332,6.622637441486046,8.0,0.0,228.1653035,3.2797405704559845,45.9009425,0.012675826424365188
DEEP1M,536870912,indeg,6,bf377c5ad52c743759777a38a0fe6d764b8aced6f81b528f80091621e61e8ac8,9a3a08bb2c42513837965f136afdf965f5f29224599dfc845b6c960eb8505703,57976c8bda972c3d2040823766661cb9d790545f2b82a6caa325f6c375aea44c,skv-node3,17395791157795909511,1,8822020575971608226,2,fnv1a64,field_scoped_physical_artifacts,replicated_header_source_bytes,descriptor_slice_of_replicated_header,global_budget_map_source_bytes,per_mn_offset_table_source_bytes,per_mn_record_payload_source_bytes,global_selected_uid_u32le_sequence,0,b79c2e9536e4fe7b792dc182fab3e60ee989693e69acdc0da571f133d389cd2c,536870888,177098,staged,20,20,1,67108864,6260.666666666667,26.68285705467089,0.98907,0.0,10077.306333333334,22.686560288306293,11704.461166666666,103.71943496152815,12971.018833333334,935.4056263288965,348.1563,0.0,916301.674,0.0,2811.0814218333335,6.844493720663785,269.383576,0.6640609604212416,1110.9253198333333,5.7772800062271505,8.0,0.0,259.601759,3.1634389969710752,45.90260166666667,0.008012774097673725
DEEP1M,1073741824,benefit,6,bf377c5ad52c743759777a38a0fe6d764b8aced6f81b528f80091621e61e8ac8,9a3a08bb2c42513837965f136afdf965f5f29224599dfc845b6c960eb8505703,57976c8bda972c3d2040823766661cb9d790545f2b82a6caa325f6c375aea44c,skv-node3,13508257724911631318,1,8822020575971608226,2,fnv1a64,field_scoped_physical_artifacts,replicated_header_source_bytes,descriptor_slice_of_replicated_header,global_budget_map_source_bytes,per_mn_offset_table_source_bytes,per_mn_record_payload_source_bytes,global_selected_uid_u32le_sequence,0,efb74a1d39b15c63a3fb9e2f3073b00a132b5a7091d36cb05f1cadeb5e614565,1073741744,363435,staged,20,20,1,67108864,8710.833333333334,28.37757223671539,0.98907,0.0,7222.872833333334,27.753400392128516,8385.166000000001,33.611371660917406,9120.391666666666,76.81404775158153,304.191,0.0,751452.5256,0.0,4089.5223746666666,9.50779345944393,270.1303068333333,1.025827602733015,2133.036397,7.015035690097495,16.0,0.0,467.8999718333333,2.4699692985549677,92.85532433333333,0.045712176033864425
DEEP1M,1073741824,hop,6,bf377c5ad52c743759777a38a0fe6d764b8aced6f81b528f80091621e61e8ac8,9a3a08bb2c42513837965f136afdf965f5f29224599dfc845b6c960eb8505703,57976c8bda972c3d2040823766661cb9d790545f2b82a6caa325f6c375aea44c,skv-node3,17116748085176951982,1,8822020575971608226,2,fnv1a64,field_scoped_physical_artifacts,replicated_header_source_bytes,descriptor_slice_of_replicated_header,global_budget_map_source_bytes,per_mn_offset_table_source_bytes,per_mn_record_payload_source_bytes,global_selected_uid_u32le_sequence,0,aba9a474512de2405f49797ac9539a7aa38942d5f3015c4c66e50184a8ab5ef6,1073741816,432828,staged,20,20,1,67108864,6679.5,21.913910619741063,0.98907,0.0,9790.167,28.8168496898687,13170.586666666666,43.34626707289792,14489.607333333333,231.15787713531824,330.5151,0.0,897872.5176,0.0,4647.972107166666,17.509244574975366,1231.7379031666667,7.471287064830662,2117.4229273333335,13.049674466589641,16.0,0.0,453.12412266666666,3.7054066137942128,92.85345433333333,0.02417454180878473
DEEP1M,1073741824,indeg,6,bf377c5ad52c743759777a38a0fe6d764b8aced6f81b528f80091621e61e8ac8,9a3a08bb2c42513837965f136afdf965f5f29224599dfc845b6c960eb8505703,57976c8bda972c3d2040823766661cb9d790545f2b82a6caa325f6c375aea44c,skv-node3,17244998649765315441,1,8822020575971608226,2,fnv1a64,field_scoped_physical_artifacts,replicated_header_source_bytes,descriptor_slice_of_replicated_header,global_budget_map_source_bytes,per_mn_offset_table_source_bytes,per_mn_record_payload_source_bytes,global_selected_uid_u32le_sequence,0,568915fb275631c1dc730357c20487e7f651d0ea6767f09e40acf136a2d205a2,1073741808,364647,staged,20,20,1,67108864,8659.666666666666,27.751454401526427,0.98907,0.0,7270.777666666667,27.087092953261806,8423.802166666666,32.23897020208148,9136.3925,52.01362396324245,304.4393,0.0,753376.804,0.0,3875.0966906666667,17.973518206328368,269.0503163333333,1.8107899311048663,2127.544499,15.898794065076908,16.0,0.0,466.885524,3.694650589835845,92.86174333333332,0.026979097935510267
DEEP1M,2147483648,benefit,6,bf377c5ad52c743759777a38a0fe6d764b8aced6f81b528f80091621e61e8ac8,9a3a08bb2c42513837965f136afdf965f5f29224599dfc845b6c960eb8505703,57976c8bda972c3d2040823766661cb9d790545f2b82a6caa325f6c375aea44c,skv-node3,4288443748142003121,1,8822020575971608226,2,fnv1a64,field_scoped_physical_artifacts,replicated_header_source_bytes,descriptor_slice_of_replicated_header,global_budget_map_source_bytes,per_mn_offset_table_source_bytes,per_mn_record_payload_source_bytes,global_selected_uid_u32le_sequence,0,704bacb28c03713fd7edee8170a50123d72991e3115e194d7d5c3bebb2297be2,2147483592,902376,staged,20,20,1,67108864,20360.5,96.50158684109812,0.98907,0.0,3044.2068333333336,12.756816450979313,3411.0455,17.508770580803084,3814.0585,22.45525065203152,209.857,0.0,536648.994,0.0,6269.2345135,37.7130139640759,268.9764468333333,0.8240698054462335,4138.869572166666,33.289324372641225,32.0,0.0,874.7874633333333,4.895677351022411,186.73823549999997,0.044375830567780425
DEEP1M,2147483648,hop,6,bf377c5ad52c743759777a38a0fe6d764b8aced6f81b528f80091621e61e8ac8,9a3a08bb2c42513837965f136afdf965f5f29224599dfc845b6c960eb8505703,57976c8bda972c3d2040823766661cb9d790545f2b82a6caa325f6c375aea44c,skv-node3,14503179415101976270,1,8822020575971608226,2,fnv1a64,field_scoped_physical_artifacts,replicated_header_source_bytes,descriptor_slice_of_replicated_header,global_budget_map_source_bytes,per_mn_offset_table_source_bytes,per_mn_record_payload_source_bytes,global_selected_uid_u32le_sequence,0,809792803cc26be6cf7015e4c13ae061f7e26efba57e4ca30f4f9d77a81be483,2147483600,940513,staged,20,20,1,67108864,18778.833333333332,249.51544329810534,0.98907,0.0,3210.509,43.00390079799957,4381.812833333333,46.27223472289472,5366.317166666667,71.3685014401904,217.4765,0.0,556178.2164,0.0,6734.325209333334,38.09246470725258,1242.2272215,21.722188025688823,4142.003173666667,19.248326313936122,32.0,0.0,870.1005431666666,4.897906416651935,186.71791366666665,0.03763672723771834
DEEP1M,2147483648,indeg,6,bf377c5ad52c743759777a38a0fe6d764b8aced6f81b528f80091621e61e8ac8,9a3a08bb2c42513837965f136afdf965f5f29224599dfc845b6c960eb8505703,57976c8bda972c3d2040823766661cb9d790545f2b82a6caa325f6c375aea44c,skv-node3,3419091514454289038,1,8822020575971608226,2,fnv1a64,field_scoped_physical_artifacts,replicated_header_source_bytes,descriptor_slice_of_replicated_header,global_budget_map_source_bytes,per_mn_offset_table_source_bytes,per_mn_record_payload_source_bytes,global_selected_uid_u32le_sequence,0,e238f79873f954275c63c87e7a3fa6a0a833514ad81aaebef74f15d549ddd31b,2147483576,902444,staged,20,20,1,67108864,20456.166666666668,119.14842983963324,0.98907,0.0,3032.4265,14.837295436700527,3390.948,13.476801102095413,3794.107666666667,27.259493189269758,209.8649,0.0,536666.636,0.0,5993.834652333333,14.802697004656428,268.9951086666666,1.2876571815078355,4140.453007,13.436950917049494,32.0,0.0,868.9043758333333,6.022585303186182,186.72246183333334,0.040212308027113036
GIST1M,536870912,benefit,6,bf377c5ad52c743759777a38a0fe6d764b8aced6f81b528f80091621e61e8ac8,0959b355073bfb34bf87b959c0725bf4c3770bdc62b48cc49fb2eb85d356e814,57976c8bda972c3d2040823766661cb9d790545f2b82a6caa325f6c375aea44c,skv-node3,15086623554454968345,1,14435817900986100451,2,fnv1a64,field_scoped_physical_artifacts,replicated_header_source_bytes,descriptor_slice_of_replicated_header,global_budget_map_source_bytes,per_mn_offset_table_source_bytes,per_mn_record_payload_source_bytes,global_selected_uid_u32le_sequence,0,516642481e01db5faf85cac40cb660e2a2dc2f370e0f3abd0331882daa9a825f,536870112,17197,staged,20,20,1,67108864,596.0,0.0,0.9276,0.0,107857.24533333334,68.37983910967057,117972.39083333334,163.33540261683834,121589.59166666667,277.12915602570155,736.855,0.0,19231353.932,0.0,7007.7243536666665,16.988190027542558,187.18567266666665,2.072605403527566,1104.8605851666666,13.80725659556111,8.0,0.0,238.649385,2.83683861104669,45.911607,0.018301089532148134
