dataset,layout,memory_nodes,repeat,mn,descriptor_version,policy,record_layout,scoring_code,scoring_bits,local_slots,registered_bytes,materialized_bytes,actual_write_bytes,header_bytes,budget_map_bytes,placement_padding_bytes,offset_table_bytes,record_bytes,query_read_bytes,query_read_wrs,query_read_submits,mn_peak_rss_kib
gist1m,fixed,1,0,0,2,block_cyclic,fixed,rabitq,2,1000000,9663676416,8456016384,8456016384,16384,0,0,0,8456000000,41591542960,6005660,4017330,13646816
gist1m,fixed,1,1,0,2,block_cyclic,fixed,rabitq,2,1000000,9663676416,8456016384,8456016384,16384,0,0,0,8456000000,41591542960,6005660,4017330,13646820
gist1m,fixed,1,2,0,2,block_cyclic,fixed,rabitq,2,1000000,9663676416,8456016384,8456016384,16384,0,0,0,8456000000,41591542960,6005660,4017330,13646964
gist1m,fixed,1,3,0,2,block_cyclic,fixed,rabitq,2,1000000,9663676416,8456016384,8456016384,16384,0,0,0,8456000000,41591542960,6005660,4017330,13646928
gist1m,fixed,1,4,0,2,block_cyclic,fixed,rabitq,2,1000000,9663676416,8456016384,8456016384,16384,0,0,0,8456000000,41591542960,6005660,4017330,13647056
gist1m,fixed,3,0,0,2,block_cyclic,fixed,rabitq,2,333334,3221225472,2818688688,2818688688,16384,0,0,0,2818672304,13841329360,1998560,1343670,7355152
gist1m,fixed,3,0,1,2,block_cyclic,fixed,rabitq,2,333333,3221225472,2818680232,2818680232,16384,0,0,0,2818663848,13872668160,2003860,1346040,7355340
gist1m,fixed,3,0,2,2,block_cyclic,fixed,rabitq,2,333333,3221225472,2818680232,2818680232,16384,0,0,0,2818663848,13877545440,2003240,1347620,7355644
gist1m,fixed,3,1,0,2,block_cyclic,fixed,rabitq,2,333334,3221225472,2818688688,2818688688,16384,0,0,0,2818672304,13841329360,1998560,1343670,7355196
gist1m,fixed,3,1,1,2,block_cyclic,fixed,rabitq,2,333333,3221225472,2818680232,2818680232,16384,0,0,0,2818663848,13872668160,2003860,1346040,7355500
gist1m,fixed,3,1,2,2,block_cyclic,fixed,rabitq,2,333333,3221225472,2818680232,2818680232,16384,0,0,0,2818663848,13877545440,2003240,1347620,7355480
gist1m,fixed,3,2,0,2,block_cyclic,fixed,rabitq,2,333334,3221225472,2818688688,2818688688,16384,0,0,0,2818672304,13841329360,1998560,1343670,7355180
gist1m,fixed,3,2,1,2,block_cyclic,fixed,rabitq,2,333333,3221225472,2818680232,2818680232,16384,0,0,0,2818663848,13872668160,2003860,1346040,7355520
gist1m,fixed,3,2,2,2,block_cyclic,fixed,rabitq,2,333333,3221225472,2818680232,2818680232,16384,0,0,0,2818663848,13877545440,2003240,1347620,7355608
gist1m,fixed,3,3,0,2,block_cyclic,fixed,rabitq,2,333334,3221225472,2818688688,2818688688,16384,0,0,0,2818672304,13841329360,1998560,1343670,7355424
gist1m,fixed,3,3,1,2,block_cyclic,fixed,rabitq,2,333333,3221225472,2818680232,2818680232,16384,0,0,0,2818663848,13872668160,2003860,1346040,7355404
gist1m,fixed,3,3,2,2,block_cyclic,fixed,rabitq,2,333333,3221225472,2818680232,2818680232,16384,0,0,0,2818663848,13877545440,2003240,1347620,7355528
gist1m,fixed,3,4,0,2,block_cyclic,fixed,rabitq,2,333334,3221225472,2818688688,2818688688,16384,0,0,0,2818672304,13841329360,1998560,1343670,7355388
