campaign_id,protocol_fingerprint,binary_sha256,dataset,topology,repeat,threads,ef,top_k,metric,measurement_mode,processed_queries,expected_queries,failed_queries,qps,recall,latency_us,network_us,compute_us,meta_us,deserialize_us,query_canonical_sha256,groundtruth_canonical_sha256,query_file_sha256,groundtruth_file_sha256,query_manifest_sha256,source,source_sha256
dhnsw-topology-final-node3-v2-20260713,ac6c5bbea9299ec3e3f9d8d47dc5340a9813d92ba620f001a0f150567148e049,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,DEEP1M,loopback,0,10,200,10,l2,fixed_query_pool,10000,10000,0,4285.472,0.908890,2176.310,400.568,1777.690,42.222,1783.510,68973a8fa5af6691d904c0f5a292136be6e3f21fed6b28154a1bfbdb1c93db57,edce835964026fe3161d1c3c0a9fdf5144fae22ee30d9b55585bebfca0117ce5,0359efc4a332e6f79ebeade7665aa314e10b122fea1d54b3878f97c9bb5ba574,d99e96c21cfdc2383f2735f80d0d7e3c7ef62989510bf840023a6454e108a5b2,a0147ce5fafab891b6b5963b6db47213c8fcb99cfa682486d61f1400d5084a2f,raw_sources/loopback_r0.json,42af459b112fb020f42e6d727c13cfc3e1ddd83edcdb9652af13d1b3a372c3ab
dhnsw-topology-final-node3-v2-20260713,ac6c5bbea9299ec3e3f9d8d47dc5340a9813d92ba620f001a0f150567148e049,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,DEEP1M,loopback,1,10,200,10,l2,fixed_query_pool,10000,10000,0,4670.309,0.908900,1943.060,337.600,1560.950,39.825,1393.320,68973a8fa5af6691d904c0f5a292136be6e3f21fed6b28154a1bfbdb1c93db57,edce835964026fe3161d1c3c0a9fdf5144fae22ee30d9b55585bebfca0117ce5,0359efc4a332e6f79ebeade7665aa314e10b122fea1d54b3878f97c9bb5ba574,d99e96c21cfdc2383f2735f80d0d7e3c7ef62989510bf840023a6454e108a5b2,a0147ce5fafab891b6b5963b6db47213c8fcb99cfa682486d61f1400d5084a2f,raw_sources/loopback_r1.json,60c317cb43f620acaf836b6296aee27953c5a6f7dde272037ce58498e1d66d00
dhnsw-topology-final-node3-v2-20260713,ac6c5bbea9299ec3e3f9d8d47dc5340a9813d92ba620f001a0f150567148e049,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,DEEP1M,loopback,2,10,200,10,l2,fixed_query_pool,10000,10000,0,3930.813,0.908930,2339.200,457.452,1816.000,42.794,1971.200,68973a8fa5af6691d904c0f5a292136be6e3f21fed6b28154a1bfbdb1c93db57,edce835964026fe3161d1c3c0a9fdf5144fae22ee30d9b55585bebfca0117ce5,0359efc4a332e6f79ebeade7665aa314e10b122fea1d54b3878f97c9bb5ba574,d99e96c21cfdc2383f2735f80d0d7e3c7ef62989510bf840023a6454e108a5b2,a0147ce5fafab891b6b5963b6db47213c8fcb99cfa682486d61f1400d5084a2f,raw_sources/loopback_r2.json,a61105aa4eddc89b68f4512287a81c070271fb09e533b69bcbc9239b143dd18e
dhnsw-topology-final-node3-v2-20260713,ac6c5bbea9299ec3e3f9d8d47dc5340a9813d92ba620f001a0f150567148e049,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,DEEP1M,loopback,3,10,200,10,l2,fixed_query_pool,10000,10000,0,3914.360,0.908930,2302.480,488.105,1773.270,42.002,1967.410,68973a8fa5af6691d904c0f5a292136be6e3f21fed6b28154a1bfbdb1c93db57,edce835964026fe3161d1c3c0a9fdf5144fae22ee30d9b55585bebfca0117ce5,0359efc4a332e6f79ebeade7665aa314e10b122fea1d54b3878f97c9bb5ba574,d99e96c21cfdc2383f2735f80d0d7e3c7ef62989510bf840023a6454e108a5b2,a0147ce5fafab891b6b5963b6db47213c8fcb99cfa682486d61f1400d5084a2f,raw_sources/loopback_r3.json,454be6dc9536e4f3406b251f8c018bd453bf155666c126df849136a063efbbe5
dhnsw-topology-final-node3-v2-20260713,ac6c5bbea9299ec3e3f9d8d47dc5340a9813d92ba620f001a0f150567148e049,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,DEEP1M,loopback,4,10,200,10,l2,fixed_query_pool,10000,10000,0,4162.882,0.908940,2242.570,435.681,1768.040,36.068,1853.920,68973a8fa5af6691d904c0f5a292136be6e3f21fed6b28154a1bfbdb1c93db57,edce835964026fe3161d1c3c0a9fdf5144fae22ee30d9b55585bebfca0117ce5,0359efc4a332e6f79ebeade7665aa314e10b122fea1d54b3878f97c9bb5ba574,d99e96c21cfdc2383f2735f80d0d7e3c7ef62989510bf840023a6454e108a5b2,a0147ce5fafab891b6b5963b6db47213c8fcb99cfa682486d61f1400d5084a2f,raw_sources/loopback_r4.json,f765e7220f9b9215d6e05c7d814237523f2f4776115c5cf963d3b5182a129800
dhnsw-topology-final-node3-v2-20260713,6d320a0c3522bc0c88891970a630ac7653a39673ce996f3f096ee43bd5db18aa,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,DEEP1M,remote,0,10,200,10,l2,fixed_query_pool,10000,10000,0,291.315,0.908920,17332.400,16823.700,361.084,40.187,466.060,68973a8fa5af6691d904c0f5a292136be6e3f21fed6b28154a1bfbdb1c93db57,edce835964026fe3161d1c3c0a9fdf5144fae22ee30d9b55585bebfca0117ce5,0359efc4a332e6f79ebeade7665aa314e10b122fea1d54b3878f97c9bb5ba574,d99e96c21cfdc2383f2735f80d0d7e3c7ef62989510bf840023a6454e108a5b2,a0147ce5fafab891b6b5963b6db47213c8fcb99cfa682486d61f1400d5084a2f,raw_sources/remote_r0.json,fe2afd53169f2e894ceef81d8ae4609fa7182836c3656a29eeebd4990684704b
dhnsw-topology-final-node3-v2-20260713,6d320a0c3522bc0c88891970a630ac7653a39673ce996f3f096ee43bd5db18aa,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,DEEP1M,remote,1,10,200,10,l2,fixed_query_pool,10000,10000,0,294.447,0.908970,19359.700,18827.700,434.956,39.177,488.840,68973a8fa5af6691d904c0f5a292136be6e3f21fed6b28154a1bfbdb1c93db57,edce835964026fe3161d1c3c0a9fdf5144fae22ee30d9b55585bebfca0117ce5,0359efc4a332e6f79ebeade7665aa314e10b122fea1d54b3878f97c9bb5ba574,d99e96c21cfdc2383f2735f80d0d7e3c7ef62989510bf840023a6454e108a5b2,a0147ce5fafab891b6b5963b6db47213c8fcb99cfa682486d61f1400d5084a2f,raw_sources/remote_r1.json,5e24dee99d8698c4313c7aa001a42d1cc495549c6c5492b7bcb072874a366fbd
dhnsw-topology-final-node3-v2-20260713,6d320a0c3522bc0c88891970a630ac7653a39673ce996f3f096ee43bd5db18aa,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,DEEP1M,remote,2,10,200,10,l2,fixed_query_pool,10000,10000,0,296.578,0.908930,22478.400,21893.600,407.336,37.551,494.985,68973a8fa5af6691d904c0f5a292136be6e3f21fed6b28154a1bfbdb1c93db57,edce835964026fe3161d1c3c0a9fdf5144fae22ee30d9b55585bebfca0117ce5,0359efc4a332e6f79ebeade7665aa314e10b122fea1d54b3878f97c9bb5ba574,d99e96c21cfdc2383f2735f80d0d7e3c7ef62989510bf840023a6454e108a5b2,a0147ce5fafab891b6b5963b6db47213c8fcb99cfa682486d61f1400d5084a2f,raw_sources/remote_r2.json,7994dba2bb5823b36b0db2a0cad29520f85accd2489f149900500fa112bbcca6
dhnsw-topology-final-node3-v2-20260713,6d320a0c3522bc0c88891970a630ac7653a39673ce996f3f096ee43bd5db18aa,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,DEEP1M,remote,3,10,200,10,l2,fixed_query_pool,10000,10000,0,297.661,0.908890,15886.200,15379.400,387.248,39.645,489.168,68973a8fa5af6691d904c0f5a292136be6e3f21fed6b28154a1bfbdb1c93db57,edce835964026fe3161d1c3c0a9fdf5144fae22ee30d9b55585bebfca0117ce5,0359efc4a332e6f79ebeade7665aa314e10b122fea1d54b3878f97c9bb5ba574,d99e96c21cfdc2383f2735f80d0d7e3c7ef62989510bf840023a6454e108a5b2,a0147ce5fafab891b6b5963b6db47213c8fcb99cfa682486d61f1400d5084a2f,raw_sources/remote_r3.json,93b505b36495fb9005eb96bd07ec21ce906509c0a5932b1680732d86e4bb209f
dhnsw-topology-final-node3-v2-20260713,6d320a0c3522bc0c88891970a630ac7653a39673ce996f3f096ee43bd5db18aa,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,DEEP1M,remote,4,10,200,10,l2,fixed_query_pool,10000,10000,0,291.407,0.908880,17259.700,16783.400,346.390,41.352,419.362,68973a8fa5af6691d904c0f5a292136be6e3f21fed6b28154a1bfbdb1c93db57,edce835964026fe3161d1c3c0a9fdf5144fae22ee30d9b55585bebfca0117ce5,0359efc4a332e6f79ebeade7665aa314e10b122fea1d54b3878f97c9bb5ba574,d99e96c21cfdc2383f2735f80d0d7e3c7ef62989510bf840023a6454e108a5b2,a0147ce5fafab891b6b5963b6db47213c8fcb99cfa682486d61f1400d5084a2f,raw_sources/remote_r4.json,33488d744892e2cf11a826435b745ed6da2468289739a40a25ca538dfb5e4d27
