campaign_id,protocol_fingerprint,binary_sha256,dataset,method,workers,repeat,threads,query_contexts,coroutines,top_k,ef,metric,measurement_mode,status,processed_queries,expected_queries,failed_queries,recall,qps,query_canonical_sha256,groundtruth_canonical_sha256,query_file_sha256,groundtruth_file_sha256,query_pool_manifest,query_pool_manifest_sha256,source,source_sha256
vldb-worker-scaling-final-node3-v1-20260713,1ea54320a7bc7ed459ab289f77dea23d0370743285152baeb21bb363ddfaf18b,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,DEEP1M,SHINE,1,0,1,1,2,10,200,l2,fixed_query_pool,ok,10000,10000,0,0.98901,125.0,68973a8fa5af6691d904c0f5a292136be6e3f21fed6b28154a1bfbdb1c93db57,edce835964026fe3161d1c3c0a9fdf5144fae22ee30d9b55585bebfca0117ce5,8438fc763f14e0f9741fda15b3e11215aef089ce17d1ad47d53b52a7c9fda5bb,40706891f31cac7124935bfff8ba970a72f31946a00f4e65f310c2429b9e9e88,query_pools/deep1m_shine.json,97cc938356d3a3deac41e1d837d406d0088b0e646b037066be4403da5b869b02,raw_sources/shine_w1_r0.json,c6ef763cfa36bf4168a0588498952f626dd49c4870514bd8fd890970c7966f26
vldb-worker-scaling-final-node3-v1-20260713,9141f811c3609df83d93b2fe95bdc2045ecd457ffd0e0090e3c2d9e2ee2257dc,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,DEEP1M,SlabWalk,1,0,1,1,2,10,200,l2,fixed_query_pool,ok,10000,10000,0,0.98907,1243.0,68973a8fa5af6691d904c0f5a292136be6e3f21fed6b28154a1bfbdb1c93db57,edce835964026fe3161d1c3c0a9fdf5144fae22ee30d9b55585bebfca0117ce5,8438fc763f14e0f9741fda15b3e11215aef089ce17d1ad47d53b52a7c9fda5bb,40706891f31cac7124935bfff8ba970a72f31946a00f4e65f310c2429b9e9e88,query_pools/deep1m_slabwalk.json,82bd83cd8d0f0368e88be45da923f942d0e31da34e9524665c82a788a14cda12,raw_sources/slabwalk_w1_r0.json,834bce3b56ad6f0d8d4087eff6e458923640d74f969e4c93eda4b5c0c2647839
vldb-worker-scaling-final-node3-v1-20260713,fd19573a23634c14ddd9fa5f9dcd23c3390e90a8adefbf149b4ba347c8c9cd0b,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,DEEP1M,d-HNSW,1,0,1,,,10,200,l2,fixed_query_pool,ok,10000,10000,0,0.90893,5675.41,68973a8fa5af6691d904c0f5a292136be6e3f21fed6b28154a1bfbdb1c93db57,edce835964026fe3161d1c3c0a9fdf5144fae22ee30d9b55585bebfca0117ce5,0359efc4a332e6f79ebeade7665aa314e10b122fea1d54b3878f97c9bb5ba574,d99e96c21cfdc2383f2735f80d0d7e3c7ef62989510bf840023a6454e108a5b2,query_pools/deep1m_dhnsw.json,048df03d3f6547048d22468d81dc0c5155a6f42f4c3f661cd38c96f01e81e798,raw_sources/dhnsw_w1_r0.json,e622596c17baaf74d1b6ab4c9f83fdb564fb35f75420d9ec87c73792c8620aee
vldb-worker-scaling-final-node3-v1-20260713,1ea54320a7bc7ed459ab289f77dea23d0370743285152baeb21bb363ddfaf18b,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,DEEP1M,SHINE,1,1,1,1,2,10,200,l2,fixed_query_pool,ok,10000,10000,0,0.98901,125.0,68973a8fa5af6691d904c0f5a292136be6e3f21fed6b28154a1bfbdb1c93db57,edce835964026fe3161d1c3c0a9fdf5144fae22ee30d9b55585bebfca0117ce5,8438fc763f14e0f9741fda15b3e11215aef089ce17d1ad47d53b52a7c9fda5bb,40706891f31cac7124935bfff8ba970a72f31946a00f4e65f310c2429b9e9e88,query_pools/deep1m_shine.json,97cc938356d3a3deac41e1d837d406d0088b0e646b037066be4403da5b869b02,raw_sources/shine_w1_r1.json,d9c604d0ec1b12af73b00dec7d795f9edbd97ee6b8b9856d18c7e3bd0ff479e1
vldb-worker-scaling-final-node3-v1-20260713,9141f811c3609df83d93b2fe95bdc2045ecd457ffd0e0090e3c2d9e2ee2257dc,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,DEEP1M,SlabWalk,1,1,1,1,2,10,200,l2,fixed_query_pool,ok,10000,10000,0,0.98907,1246.0,68973a8fa5af6691d904c0f5a292136be6e3f21fed6b28154a1bfbdb1c93db57,edce835964026fe3161d1c3c0a9fdf5144fae22ee30d9b55585bebfca0117ce5,8438fc763f14e0f9741fda15b3e11215aef089ce17d1ad47d53b52a7c9fda5bb,40706891f31cac7124935bfff8ba970a72f31946a00f4e65f310c2429b9e9e88,query_pools/deep1m_slabwalk.json,82bd83cd8d0f0368e88be45da923f942d0e31da34e9524665c82a788a14cda12,raw_sources/slabwalk_w1_r1.json,18b57f8e885267820459b9305fe8456164b03bb53e140eeea890b7357c3ccd4a
vldb-worker-scaling-final-node3-v1-20260713,fd19573a23634c14ddd9fa5f9dcd23c3390e90a8adefbf149b4ba347c8c9cd0b,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,DEEP1M,d-HNSW,1,1,1,,,10,200,l2,fixed_query_pool,ok,10000,10000,0,0.90891,5652.406,68973a8fa5af6691d904c0f5a292136be6e3f21fed6b28154a1bfbdb1c93db57,edce835964026fe3161d1c3c0a9fdf5144fae22ee30d9b55585bebfca0117ce5,0359efc4a332e6f79ebeade7665aa314e10b122fea1d54b3878f97c9bb5ba574,d99e96c21cfdc2383f2735f80d0d7e3c7ef62989510bf840023a6454e108a5b2,query_pools/deep1m_dhnsw.json,048df03d3f6547048d22468d81dc0c5155a6f42f4c3f661cd38c96f01e81e798,raw_sources/dhnsw_w1_r1.json,eaf98ba29500d0a9af9bba70f7913d3ce50c52651bc83559551e39a6b415c6d5
vldb-worker-scaling-final-node3-v1-20260713,1ea54320a7bc7ed459ab289f77dea23d0370743285152baeb21bb363ddfaf18b,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,DEEP1M,SHINE,1,2,1,1,2,10,200,l2,fixed_query_pool,ok,10000,10000,0,0.98901,125.0,68973a8fa5af6691d904c0f5a292136be6e3f21fed6b28154a1bfbdb1c93db57,edce835964026fe3161d1c3c0a9fdf5144fae22ee30d9b55585bebfca0117ce5,8438fc763f14e0f9741fda15b3e11215aef089ce17d1ad47d53b52a7c9fda5bb,40706891f31cac7124935bfff8ba970a72f31946a00f4e65f310c2429b9e9e88,query_pools/deep1m_shine.json,97cc938356d3a3deac41e1d837d406d0088b0e646b037066be4403da5b869b02,raw_sources/shine_w1_r2.json,0139558ec092fc399ae1a73263eb4d8eeaa2f7854c64a47fe90e6e6845e179bd
vldb-worker-scaling-final-node3-v1-20260713,9141f811c3609df83d93b2fe95bdc2045ecd457ffd0e0090e3c2d9e2ee2257dc,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,DEEP1M,SlabWalk,1,2,1,1,2,10,200,l2,fixed_query_pool,ok,10000,10000,0,0.98907,1246.0,68973a8fa5af6691d904c0f5a292136be6e3f21fed6b28154a1bfbdb1c93db57,edce835964026fe3161d1c3c0a9fdf5144fae22ee30d9b55585bebfca0117ce5,8438fc763f14e0f9741fda15b3e11215aef089ce17d1ad47d53b52a7c9fda5bb,40706891f31cac7124935bfff8ba970a72f31946a00f4e65f310c2429b9e9e88,query_pools/deep1m_slabwalk.json,82bd83cd8d0f0368e88be45da923f942d0e31da34e9524665c82a788a14cda12,raw_sources/slabwalk_w1_r2.json,71f3a624046b3a8a8cf3871a93642d176a06a75d0e5db29a85c21ce08759299a
vldb-worker-scaling-final-node3-v1-20260713,fd19573a23634c14ddd9fa5f9dcd23c3390e90a8adefbf149b4ba347c8c9cd0b,1fede56b39bf640663761bce92646a464098f95baf64a58d7847d520f7833bd8,DEEP1M,d-HNSW,1,2,1,,,10,200,l2,fixed_query_pool,ok,10000,10000,0,0.90892,4960.187,68973a8fa5af6691d904c0f5a292136be6e3f21fed6b28154a1bfbdb1c93db57,edce835964026fe3161d1c3c0a9fdf5144fae22ee30d9b55585bebfca0117ce5,0359efc4a332e6f79ebeade7665aa314e10b122fea1d54b3878f97c9bb5ba574,d99e96c21cfdc2383f2735f80d0d7e3c7ef62989510bf840023a6454e108a5b2,query_pools/deep1m_dhnsw.json,048df03d3f6547048d22468d81dc0c5155a6f42f4c3f661cd38c96f01e81e798,raw_sources/dhnsw_w1_r2.json,2728d6ff30b98ac1e5e7aa88d719ee40adb0bb6a59312c4b93b41ebc54aa42b5
vldb-worker-scaling-final-node3-v1-20260713,1ea54320a7bc7ed459ab289f77dea23d0370743285152baeb21bb363ddfaf18b,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,DEEP1M,SHINE,1,3,1,1,2,10,200,l2,fixed_query_pool,ok,10000,10000,0,0.98901,125.0,68973a8fa5af6691d904c0f5a292136be6e3f21fed6b28154a1bfbdb1c93db57,edce835964026fe3161d1c3c0a9fdf5144fae22ee30d9b55585bebfca0117ce5,8438fc763f14e0f9741fda15b3e11215aef089ce17d1ad47d53b52a7c9fda5bb,40706891f31cac7124935bfff8ba970a72f31946a00f4e65f310c2429b9e9e88,query_pools/deep1m_shine.json,97cc938356d3a3deac41e1d837d406d0088b0e646b037066be4403da5b869b02,raw_sources/shine_w1_r3.json,e7c12f1bf292ae11de90fd074ef20dda72ccca745e58e076cf7ba4b77c6e5f18
