dataset,system,cn_count,n,qps_mean,qps_median,qps_ci95,qps_ci95_low,qps_ci95_high,qps_min,qps_max,recall_mean,recall_median,recall_ci95,recall_ci95_low,recall_ci95_high,recall_min,recall_max,p50_us_mean,p50_us_median,p50_us_ci95,p50_us_ci95_low,p50_us_ci95_high,p50_us_min,p50_us_max,p99_us_mean,p99_us_median,p99_us_ci95,p99_us_ci95_low,p99_us_ci95_high,p99_us_min,p99_us_max,posts_per_query_mean,posts_per_query_median,posts_per_query_ci95,posts_per_query_ci95_low,posts_per_query_ci95_high,posts_per_query_min,posts_per_query_max,bytes_per_query_mean,bytes_per_query_median,bytes_per_query_ci95,bytes_per_query_ci95_low,bytes_per_query_ci95_high,bytes_per_query_min,bytes_per_query_max,fairness_mean,fairness_median,fairness_ci95,fairness_ci95_low,fairness_ci95_high,fairness_min,fairness_max,qps_scale_from_1cn_mean,qps_scale_from_1cn_median,qps_scale_from_1cn_ci95,qps_scale_from_1cn_ci95_low,qps_scale_from_1cn_ci95_high,qps_scale_from_1cn_min,qps_scale_from_1cn_max,scaling_efficiency_mean
SIFT1M,SHINE,1,5,1938.8,1938.0,3.6617954940165616,1935.1382045059834,1942.4617954940165,1935.0,1943.0,0.97661,0.97661,0.0,0.97661,0.97661,0.97661,0.97661,10581.779,10575.188,28.12988614344897,10553.64911385655,10609.90888614345,10552.16,10608.122,16338.7576,16396.397,598.1740070560946,15740.583592943905,16936.931607056096,15548.512,16841.953,1760.15,1760.15,0.0,1760.15,1760.15,1760.15,1760.15,898273.6732,898273.6732,0.0,898273.6732,898273.6732,898273.6732,898273.6732,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
SIFT1M,SHINE,2,5,3862.6,3860.0,8.71681681349333,3853.8831831865064,3871.3168168134935,3855.0,3871.0,0.97661,0.97661,0.0,0.97661,0.97661,0.97661,0.97661,,,,,,,,,,,,,,,1760.152,1760.152,0.0,1760.152,1760.152,1760.152,1760.152,898273.6892,898273.6892,0.0,898273.6892,898273.6892,898273.6892,898273.6892,0.9999618649868143,0.9999572940298472,1.3313393225381167e-05,0.9999485515935889,0.9999751783800397,0.9999491261511034,0.9999745559495398,1.9922677064385756,1.993798449612403,0.006340759567895469,1.9859269468706802,1.9986084660064711,1.986618630983016,1.997420020639835,0.9961338532192878
SIFT1M,SHINE,3,5,5696.8,5704.0,16.196241262712775,5680.6037587372875,5712.996241262713,5679.0,5709.0,0.97661,0.97661,0.0,0.97661,0.97661,0.97661,0.97661,,,,,,,,,,,,,,,1760.154,1760.154,0.0,1760.154,1760.154,1760.154,1760.154,898273.7052,898273.7052,0.0,898273.7052,898273.7052,898273.7052,898273.7052,0.9999653446658507,0.999962944935956,2.586691662977673e-05,0.999939477749221,0.9999912115824805,0.999943363931492,0.999989423862491,2.938319658233498,2.9427835051546394,0.01101783263167196,2.927301825601826,2.9493374908651697,2.9227997941327843,2.9437564499484004,0.9794398860778326
SIFT1M,SlabWalk,1,5,18009.0,17977.0,195.49229815212666,17813.507701847873,18204.492298152127,17844.0,18271.0,0.97662,0.97662,0.0,0.97662,0.97662,0.97662,0.97662,1082.9542000000001,1083.472,1.2894274669785946,1081.6647725330215,1084.2436274669788,1081.476,1084.002,1384.546,1441.201,143.95432360354843,1240.5916763964517,1528.5003236035484,1208.814,1476.52,102.0859,102.0859,0.0,102.0859,102.0859,102.0859,102.0859,493012.5144,493012.5144,0.0,493012.5144,493012.5144,493012.5144,493012.5144,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
SIFT1M,SlabWalk,2,5,22883.2,22880.0,151.06491067034725,22732.135089329655,23034.264910670347,22757.0,23022.0,0.97662,0.97662,0.0,0.97662,0.97662,0.97662,0.97662,,,,,,,,,,,,,,,102.0859,102.0859,0.0,102.0859,102.0859,102.0859,102.0859,493012.5144,493012.5144,0.0,493012.5144,493012.5144,493012.5144,493012.5144,0.9998418917454645,0.9998697815250115,0.00017922844175329407,0.9996626633037111,1.0000211201872178,0.9996545009212822,0.9999851117980499,1.270753315283093,1.2781051929278329,0.01915122777475071,1.2516020875083422,1.2899045430578437,1.2455256964588692,1.2822237166554584,0.6353766576415465
SIFT1M,SlabWalk,3,5,34151.0,34062.0,217.5629675399745,33933.437032460024,34368.562967539976,33986.0,34361.0,0.9766199999999999,0.9766199999999999,0.0,0.9766199999999999,0.9766199999999999,0.9766199999999999,0.9766199999999999,,,,,,,,,,,,,,,102.0859,102.0859,0.0,102.0859,102.0859,102.0859,102.0859,493012.5144,493012.5144,0.0,493012.5144,493012.5144,493012.5144,493012.5144,0.950486034022435,0.9508470371628156,0.0006836693714827453,0.9498023646509522,0.9511697033939178,0.9497767922021098,0.95090360265464,1.8964450660915186,1.9046177986998432,0.023746253010964728,1.872698813080554,1.9201913191024833,1.8642657763669201,1.9104303347047704,0.6321483553638395
SIFT1M,d-HNSW,1,5,836.420734814408,814.633024664112,78.497407408152,757.923327406256,914.9181422225599,776.3340646237451,923.0711651862122,0.8981599987,0.8981599987,1.2327916465437736e-16,0.8981599986999999,0.8981599987000001,0.8981599987,0.8981599987000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
SIFT1M,d-HNSW,2,5,788.7696909309894,781.3286052360754,178.93078590028693,609.8389050307026,967.7004768312763,567.4073126404344,951.6715648520504,0.8981599987000001,0.8981599987000002,2.4655832930875473e-16,0.8981599986999999,0.8981599987000003,0.8981599986999997,0.8981599987000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9878634440153529,0.996928495839874,0.023840143455650855,0.964023300559702,1.0117035874710036,0.9540128815706217,0.9999585890029903,0.9458453687455617,0.8742629348899181,0.2301080071055515,0.7157373616400102,1.1759533758511131,0.7308803497054218,1.1682211941314826,0.47292268437278084
SIFT1M,d-HNSW,3,5,632.6482950087764,630.9266437675108,29.296253141683625,603.3520418670927,661.94454815046,607.5251847524365,671.0340304736245,0.8981599941918,0.8981599941918,0.0,0.8981599941918,0.8981599941918,0.8981599941918,0.8981599941918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.892358760543761,0.9041558718353383,0.046251401508378906,0.846107359035382,0.9386101620521399,0.831685922833571,0.9302019691639783,0.7605901253316875,0.7631852272831835,0.09264866797102195,0.6679414573606655,0.8532387933027095,0.683508127610327,0.8524345629000386,0.25353004177722915
DEEP1M,SHINE,1,5,1112.6,1113.0,3.682780167210635,1108.9172198327892,1116.2827801672106,1109.0,1117.0,0.98901,0.98901,0.0,0.98901,0.98901,0.98901,0.98901,18294.5204,18298.009000000002,76.92071629407855,18217.59968370592,18371.44111629408,18196.760000000002,18365.177,26598.594,26578.477,134.03905451080897,26464.55494548919,26732.63305451081,26441.684,26722.386000000002,3018.3664,3018.3664,0.0,3018.3664,3018.3664,3018.3664,3018.3664,1176736.104,1176736.104,0.0,1176736.104,1176736.104,1176736.104,1176736.104,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
